SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 05",1594541,OH,HARRISON COUNTY,2020,May,Not Adj,Ohio,"5,700","6,600",900,13.40%
"2020, 05",1594547,OH,HENRY COUNTY,2020,May,Not Adj,Ohio,"11,000","12,900","1,900",14.50%
"2020, 05",1594553,OH,HIGHLAND COUNTY,2020,May,Not Adj,Ohio,"14,400","16,800","2,400",14.20%
"2020, 05",1594559,OH,HOCKING COUNTY,2020,May,Not Adj,Ohio,"11,300","12,700","1,400",11.00%
"2020, 05",1594565,OH,HOLMES COUNTY,2020,May,Not Adj,Ohio,"19,700","20,800","1,100",5.20%
"2020, 05",1594571,OH,HURON COUNTY,2020,May,Not Adj,Ohio,"23,600","27,800","4,200",15.20%
"2020, 05",1594577,OH,JACKSON COUNTY,2020,May,Not Adj,Ohio,"11,200","12,800","1,600",12.30%
"2020, 05",1594583,OH,JEFFERSON COUNTY,2020,May,Not Adj,Ohio,"23,400","27,600","4,100",15.10%
"2020, 05",1594589,OH,KNOX COUNTY,2020,May,Not Adj,Ohio,"28,000","30,900","2,900",9.40%
"2020, 05",1594595,OH,LAKE COUNTY,2020,May,Not Adj,Ohio,"105,400","124,300","18,900",15.20%
"2020, 05",1594601,OH,LAWRENCE COUNTY,2020,May,Not Adj,Ohio,"21,100","24,300","3,200",13.20%
"2020, 05",1594607,OH,LICKING COUNTY,2020,May,Not Adj,Ohio,"79,300","88,400","9,100",10.30%
"2020, 05",1594613,OH,LOGAN COUNTY,2020,May,Not Adj,Ohio,"19,600","22,700","3,100",13.60%
"2020, 05",1594619,OH,LORAIN COUNTY,2020,May,Not Adj,Ohio,"127,600","157,300","29,700",18.90%
"2020, 05",1594625,OH,LUCAS COUNTY,2020,May,Not Adj,Ohio,"176,800","218,800","41,900",19.20%
"2020, 05",1594631,OH,MADISON COUNTY,2020,May,Not Adj,Ohio,"18,400","20,300","1,900",9.50%
"2020, 05",1594637,OH,MAHONING COUNTY,2020,May,Not Adj,Ohio,"84,400","100,000","15,500",15.50%
"2020, 05",1594643,OH,MARION COUNTY,2020,May,Not Adj,Ohio,"24,600","28,200","3,600",12.70%
"2020, 05",1594649,OH,MEDINA COUNTY,2020,May,Not Adj,Ohio,"81,700","95,800","14,000",14.70%
"2020, 05",1594655,OH,MEIGS COUNTY,2020,May,Not Adj,Ohio,"7,700","8,800","1,100",12.20%
"2020, 05",1594661,OH,MERCER COUNTY,2020,May,Not Adj,Ohio,"21,300","23,500","2,200",9.20%
"2020, 05",1594667,OH,MIAMI COUNTY,2020,May,Not Adj,Ohio,"47,800","54,000","6,200",11.50%
"2020, 05",1594673,OH,MONROE COUNTY,2020,May,Not Adj,Ohio,"4,500","5,300",800,15.00%
"2020, 05",1594679,OH,MONTGOMERY COUNTY,2020,May,Not Adj,Ohio,"221,400","257,000","35,600",13.90%
"2020, 05",1594685,OH,MORGAN COUNTY,2020,May,Not Adj,Ohio,"5,700","6,500",800,12.50%
