Congressional District 7,County,F9,geogfips,State,WED,WED_Title,F5,F7,Number of Records,Total,Ucfe,UCX,UI
Lauderdale,Lauderdale,0,77,Alabama,6/13/20,6/13/20,2753,0,1,77,0,0,297
Lawrence,Lawrence,0,79,Alabama,6/13/20,6/13/20,571,0,1,79,0,0,82
Lee,Lee,0,81,Alabama,6/13/20,6/13/20,4605,0,1,81,0,0,536
Limestone,Limestone,0,83,Alabama,6/13/20,6/13/20,1573,0,1,83,0,0,163
"Choctaw, Clarke, Dallas and 11 more",Lowndes,0,85,Alabama,6/13/20,6/13/20,599,0,1,85,0,0,73
Macon,Macon,0,87,Alabama,6/13/20,6/13/20,769,0,1,87,0,0,86
Madison,Madison,0,89,Alabama,6/13/20,6/13/20,11117,0,1,89,0,0,1075
"Choctaw, Clarke, Dallas and 11 more",Marengo,0,91,Alabama,6/13/20,6/13/20,450,0,1,91,0,0,72
Marion,Marion,0,93,Alabama,6/13/20,6/13/20,523,0,1,93,0,0,102
Marshall,Marshall,0,95,Alabama,6/13/20,6/13/20,2087,0,1,95,0,0,354
Mobile,Mobile,0,97,Alabama,6/13/20,6/13/20,17056,0,1,97,0,0,2157
Monroe,Monroe,0,99,Alabama,6/13/20,6/13/20,573,0,1,99,0,0,113
"Choctaw, Clarke, Dallas and 11 more",Montgomery,0,101,Alabama,6/13/20,6/13/20,11369,0,1,101,0,0,1357
Morgan,Morgan,0,103,Alabama,6/13/20,6/13/20,3289,0,1,103,0,0,394
"Choctaw, Clarke, Dallas and 11 more",Perry,0,105,Alabama,6/13/20,6/13/20,426,0,1,105,0,0,41
"Choctaw, Clarke, Dallas and 11 more",Pickens,0,107,Alabama,6/13/20,6/13/20,618,0,1,107,0,0,58
Pike,Pike,0,109,Alabama,6/13/20,6/13/20,832,0,1,109,0,0,120
Randolph,Randolph,0,111,Alabama,6/13/20,6/13/20,310,0,1,111,0,0,58
Russell,Russell,0,113,Alabama,6/13/20,6/13/20,880,0,1,113,0,0,201
St. Clair,St. Clair,0,115,Alabama,6/13/20,6/13/20,2164,0,1,115,0,0,204
Shelby,Shelby,0,117,Alabama,6/13/20,6/13/20,3862,0,1,117,0,0,365
"Choctaw, Clarke, Dallas and 11 more",Sumter,0,119,Alabama,6/13/20,6/13/20,383,0,1,119,0,0,51
Talladega,Talladega,0,121,Alabama,6/13/20,6/13/20,2605,0,1,121,0,0,310
Tallapoosa,Tallapoosa,0,123,Alabama,6/13/20,6/13/20,1433,0,1,123,0,0,162
"Choctaw, Clarke, Dallas and 11 more",Tuscaloosa,0,125,Alabama,6/13/20,6/13/20,9663,0,1,125,0,0,732
Walker,Walker,0,127,Alabama,6/13/20,6/13/20,1736,0,1,127,0,0,221
Washington,Washington,0,129,Alabama,6/13/20,6/13/20,528,0,1,129,0,0,77
"Choctaw, Clarke, Dallas and 11 more",Wilcox,0,131,Alabama,6/13/20,6/13/20,444,0,1,131,0,0,81
Winston,Winston,0,133,Alabama,6/13/20,6/13/20,474,0,1,133,0,0,54
INA,INA,0,,Alabama,6/13/20,6/13/20,5068,0,1,,0,0,936
Total,Total,0,,Alabama,6/13/20,6/13/20,158920,0,1,,0,0,18367
Autauga,Autauga,0,1,Alabama,6/6/20,6/6/20,1791,0,1,1,0,0,211
Baldwin,Baldwin,0,3,Alabama,6/6/20,6/6/20,6454,0,1,3,0,0,644
Barbour,Barbour,0,5,Alabama,6/6/20,6/6/20,540,0,1,5,0,0,100
Bibb,Bibb,0,7,Alabama,6/6/20,6/6/20,1011,0,1,7,0,0,77
Blount,Blount,0,9,Alabama,6/6/20,6/6/20,801,0,1,9,0,0,74
