county,month,claims,,,,,,,,,,,,,
Le Sueur County,3/1/20,"1,340",,,,,,,,,,,,,
Martin County,3/1/20,690,,,,,,,,,,,,,
Nicollet County,3/1/20,"1,593",,,,,,,,,,,,,
Sibley County,3/1/20,535,,,,,,,,,,,,,
Waseca County,3/1/20,754,,,,,,,,,,,,,
Watonwan County,3/1/20,315,,,,,,,,,,,,,
Fillmore County,3/1/20,694,,,,,,,,,,,,,
Freeborn County,3/1/20,"1,036",,,,,,,,,,,,,
Goodhue County,3/1/20,"2,040",,,,,,,,,,,,,
Houston County,3/1/20,460,,,,,,,,,,,,,
Mower County,3/1/20,"1,287",,,,,,,,,,,,,
Olmsted County,3/1/20,"6,319",,,,,,,,,,,,,
Rice County,3/1/20,"2,548",,,,,,,,,,,,,
Steele County,3/1/20,"1,546",,,,,,,,,,,,,
Wabasha County,3/1/20,834,,,,,,,,,,,,,
Winona County,3/1/20,"2,342",,,,,,,,,,,,,
Anoka County,3/1/20,"20,123",,,,,,,,,,,,,
Carver County,3/1/20,"4,647",,,,,,,,,,,,,
Dakota County,3/1/20,"23,751",,,,,,,,,,,,,
Hennepin County,3/1/20,"69,909",,,,,,,,,,,,,
Ramsey County,3/1/20,"29,305",,,,,,,,,,,,,
Scott County,3/1/20,"7,972",,,,,,,,,,,,,
Washington County,3/1/20,"12,997",,,,,,,,,,,,,
Kittson County,2/1/20,4,,,,,,,,,,,,,
Marshall County,2/1/20,23,,,,,,,,,,,,,
Norman County,2/1/20,6,,,,,,,,,,,,,
Pennington County,2/1/20,42,,,,,,,,,,,,,
Polk County,2/1/20,97,,,,,,,,,,,,,
Red Lake County,2/1/20,17,,,,,,,,,,,,,
Roseau County,2/1/20,92,,,,,,,,,,,,,
Beltrami County,2/1/20,91,,,,,,,,,,,,,
Clearwater County,2/1/20,27,,,,,,,,,,,,,
Hubbard County,2/1/20,51,,,,,,,,,,,,,
Lake of the Woods County,2/1/20,8,,,,,,,,,,,,,
Mahnomen County,2/1/20,10,,,,,,,,,,,,,
Aitkin County,2/1/20,44,,,,,,,,,,,,,
Carlton County,2/1/20,122,,,,,,,,,,,,,
Cook County,2/1/20,11,,,,,,,,,,,,,
Itasca County,2/1/20,192,,,,,,,,,,,,,
Koochiching County,2/1/20,47,,,,,,,,,,,,,
Lake County,2/1/20,34,,,,,,,,,,,,,
Saint Louis County,2/1/20,574,,,,,,,,,,,,,
Becker County,2/1/20,98,,,,,,,,,,,,,
Clay County,2/1/20,90,,,,,,,,,,,,,
Douglas County,2/1/20,73,,,,,,,,,,,,,
Grant County,2/1/20,10,,,,,,,,,,,,,
Otter Tail County,2/1/20,120,,,,,,,,,,,,,
Pope County,2/1/20,15,,,,,,,,,,,,,
