SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 05",1578949,AR,Van Buren County,2020,May,Not Adj,Arkansas,"5,101","5,709",608,10.60%
"2020, 05",1578954,AR,Washington County,2020,May,Not Adj,Arkansas,"114,961","124,183","9,222",7.40%
"2020, 05",1578959,AR,White County,2020,May,Not Adj,Arkansas,"30,248","33,247","2,999",9.00%
"2020, 05",1578964,AR,Woodruff County,2020,May,Not Adj,Arkansas,"2,388","2,594",206,7.90%
"2020, 05",1578969,AR,Yell County,2020,May,Not Adj,Arkansas,"7,568","8,117",549,6.80%
"2020, 05",1578974,AR,Bella Vista,2020,May,Not Adj,Arkansas,"11,144","12,157","1,013",8.30%
"2020, 05",1578979,AR,Benton,2020,May,Not Adj,Arkansas,"15,690","17,192","1,502",8.70%
"2020, 05",1578984,AR,Bentonville,2020,May,Not Adj,Arkansas,"24,851","26,539","1,688",6.40%
"2020, 05",1578989,AR,Blytheville,2020,May,Not Adj,Arkansas,"5,107","6,075",968,15.90%
"2020, 05",1578994,AR,Cabot,2020,May,Not Adj,Arkansas,"10,848","11,972","1,124",9.40%
"2020, 05",1578999,AR,Conway,2020,May,Not Adj,Arkansas,"30,339","33,706","3,367",10.00%
"2020, 05",1579004,AR,El Dorado,2020,May,Not Adj,Arkansas,"5,983","6,996","1,013",14.50%
"2020, 05",1579009,AR,Fayetteville,2020,May,Not Adj,Arkansas,"44,176","48,685","4,509",9.30%
"2020, 05",1579014,AR,Fort Smith,2020,May,Not Adj,Arkansas,"35,399","39,613","4,214",10.60%
"2020, 05",1579019,AR,Hot Springs National Park (Hot Springs),2020,May,Not Adj,Arkansas,"12,812","15,578","2,766",17.80%
"2020, 05",1579024,AR,Jacksonville,2020,May,Not Adj,Arkansas,"10,322","11,807","1,485",12.60%
"2020, 05",1579029,AR,Jonesboro,2020,May,Not Adj,Arkansas,"36,022","39,535","3,513",8.90%
"2020, 05",1579034,AR,Little Rock,2020,May,Not Adj,Arkansas,"86,865","98,199","11,334",11.50%
"2020, 05",1579039,AR,North Little Rock,2020,May,Not Adj,Arkansas,"26,649","30,723","4,074",13.30%
"2020, 05",1579044,AR,Paragould,2020,May,Not Adj,Arkansas,"11,408","12,847","1,439",11.20%
"2020, 05",1579049,AR,Pine Bluff,2020,May,Not Adj,Arkansas,"14,749","16,678","1,929",11.60%
"2020, 05",1579054,AR,Rogers,2020,May,Not Adj,Arkansas,"32,898","35,378","2,480",7.00%
"2020, 05",1579059,AR,Russellville,2020,May,Not Adj,Arkansas,"12,147","13,198","1,051",8.00%
"2020, 05",1579064,AR,Searcy,2020,May,Not Adj,Arkansas,"9,222","10,105",883,8.70%
"2020, 05",1579069,AR,Sherwood,2020,May,Not Adj,Arkansas,"14,386","16,067","1,681",10.50%
"2020, 05",1579074,AR,Springdale,2020,May,Not Adj,Arkansas,"36,392","38,943","2,551",6.60%
"2020, 05",1579079,AR,Texarkana,2020,May,Not Adj,Arkansas,"12,233","13,763","1,530",11.10%
"2020, 05",1579084,AR,Van Buren,2020,May,Not Adj,Arkansas,"9,397","10,329",932,9.00%
