area_type,period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
county,April,KINGMAN COUNTY,"3,286","2,968",318,9.70%,No
county,April,KIOWA COUNTY,"1,186","1,128",58,4.90%,No
county,April,LABETTE COUNTY,"9,826","9,017",809,8.20%,No
county,April,LANE COUNTY,696,672,24,3.40%,No
county,April,LEAVENWORTH COUNTY,"36,154","31,989","4,165",11.50%,No
county,April,LINCOLN COUNTY,"1,602","1,544",58,3.60%,No
county,April,LINN COUNTY,"4,197","3,770",427,10.20%,No
county,April,LOGAN COUNTY,"1,537","1,467",70,4.60%,No
county,April,LYON COUNTY,"16,935","15,665","1,270",7.50%,No
county,April,MARION COUNTY,"5,847","5,400",447,7.60%,No
county,April,MARSHALL COUNTY,"5,222","4,951",271,5.20%,No
county,April,MCPHERSON COUNTY,"17,066","16,071",995,5.80%,No
county,April,MEADE COUNTY,"1,951","1,870",81,4.20%,No
county,April,MIAMI COUNTY,"16,904","15,342","1,562",9.20%,No
county,April,MITCHELL COUNTY,"3,167","3,058",109,3.40%,No
county,April,MONTGOMERY COUNTY,"15,230","13,189","2,041",13.40%,No
county,April,MORRIS COUNTY,"2,874","2,678",196,6.80%,No
county,April,MORTON COUNTY,"1,024",989,35,3.40%,No
county,April,NEMAHA COUNTY,"4,949","4,686",263,5.30%,No
county,April,NEOSHO COUNTY,"6,066","5,455",611,10.10%,No
county,April,NESS COUNTY,"1,260","1,192",68,5.40%,No
county,April,NORTON COUNTY,"2,464","2,383",81,3.30%,No
county,April,OSAGE COUNTY,"7,764","6,988",776,10.00%,No
county,April,OSBORNE COUNTY,"1,886","1,801",85,4.50%,No
county,April,OTTAWA COUNTY,"2,926","2,748",178,6.10%,No
county,April,PAWNEE COUNTY,"2,603","2,472",131,5.00%,No
county,April,PHILLIPS COUNTY,"2,556","2,387",169,6.60%,No
county,April,POTTAWATOMIE COUNTY,"11,670","10,777",893,7.70%,No
county,April,PRATT COUNTY,"4,800","4,531",269,5.60%,No
county,April,RAWLINS COUNTY,"1,371","1,319",52,3.80%,No
county,April,RENO COUNTY,"30,782","27,649","3,133",10.20%,No
county,April,REPUBLIC COUNTY,"2,109","2,018",91,4.30%,No
county,April,RICE COUNTY,"5,274","4,911",363,6.90%,No
county,April,RILEY COUNTY,"33,405","30,516","2,889",8.60%,No
county,April,ROOKS COUNTY,"2,348","2,214",134,5.70%,No
county,April,RUSH COUNTY,"1,566","1,435",131,8.40%,No
county,April,RUSSELL COUNTY,"3,171","2,935",236,7.40%,No
county,April,SALINE COUNTY,"30,874","27,918","2,956",9.60%,No
county,April,SCOTT COUNTY,"2,594","2,500",94,3.60%,No
county,April,SEDGWICK COUNTY,"270,060","219,653","50,407",18.70%,No
county,April,SEWARD COUNTY,"9,071","8,527",544,6.00%,No
county,April,SHAWNEE COUNTY,"90,912","79,856","11,056",12.20%,No
county,April,SHERIDAN COUNTY,"1,292","1,251",41,3.20%,No
county,April,SHERMAN COUNTY,"2,640","2,521",119,4.50%,No
county,April,SMITH COUNTY,"1,836","1,769",67,3.60%,No
