Number of Records,Region,Adjustment,area,Area,Area Type,areatype,Employed,Labor Force,Period,periodtype,Year,Period Type,Preliminary or Final,stfips,Unemployed,Unemployment Rate
1,MI,Not Adj,9,"Antrim County, MI",County,4,9425,9813,November,3,2019,Monthly,Final,26,388,4.00%
1,MI,Not Adj,9,"Antrim County, MI",County,4,9436,9928,December,3,2019,Monthly,Final,26,492,5.00%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5389,5944,January,3,2019,Monthly,Final,26,555,9.30%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5416,5971,February,3,2019,Monthly,Final,26,555,9.30%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5419,5953,March,3,2019,Monthly,Final,26,534,9.00%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5561,5948,April,3,2019,Monthly,Final,26,387,6.50%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5817,6162,May,3,2019,Monthly,Final,26,345,5.60%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5924,6315,June,3,2019,Monthly,Final,26,391,6.20%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5477,5994,January,3,2020,Monthly,Final,26,517,8.60%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5566,5999,February,3,2020,Monthly,Final,26,433,7.20%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5456,5862,March,3,2020,Monthly,Final,26,406,6.90%
1,MI,Not Adj,11,"Arenac County, MI",County,4,3892,5730,April,3,2020,Monthly,Final,26,1838,32.10%
1,MI,Not Adj,11,"Arenac County, MI",County,4,4812,6251,May,3,2020,Monthly,Preliminary,26,1439,23.00%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5915,6320,July,3,2019,Monthly,Final,26,405,6.40%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5882,6236,August,3,2019,Monthly,Final,26,354,5.70%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5787,6065,September,3,2019,Monthly,Final,26,278,4.60%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5679,5970,October,3,2019,Monthly,Final,26,291,4.90%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5629,5928,November,3,2019,Monthly,Final,26,299,5.00%
1,MI,Not Adj,11,"Arenac County, MI",County,4,5543,5936,December,3,2019,Monthly,Final,26,393,6.60%
1,MI,Not Adj,13,"Baraga County, MI",County,4,2932,3185,January,3,2019,Monthly,Final,26,253,7.90%
1,MI,Not Adj,13,"Baraga County, MI",County,4,2981,3208,February,3,2019,Monthly,Final,26,227,7.10%
1,MI,Not Adj,13,"Baraga County, MI",County,4,2895,3147,March,3,2019,Monthly,Final,26,252,8.00%
1,MI,Not Adj,13,"Baraga County, MI",County,4,2974,3192,April,3,2019,Monthly,Final,26,218,6.80%
1,MI,Not Adj,13,"Baraga County, MI",County,4,3032,3238,May,3,2019,Monthly,Final,26,206,6.40%
1,MI,Not Adj,13,"Baraga County, MI",County,4,3087,3310,June,3,2019,Monthly,Final,26,223,6.70%
1,MI,Not Adj,13,"Baraga County, MI",County,4,3036,3274,January,3,2020,Monthly,Final,26,238,7.30%
1,MI,Not Adj,13,"Baraga County, MI",County,4,3110,3310,February,3,2020,Monthly,Final,26,200,6.00%
1,MI,Not Adj,13,"Baraga County, MI",County,4,2990,3186,March,3,2020,Monthly,Final,26,196,6.20%
1,MI,Not Adj,13,"Baraga County, MI",County,4,2273,3142,April,3,2020,Monthly,Final,26,869,27.70%
1,MI,Not Adj,13,"Baraga County, MI",County,4,2455,3225,May,3,2020,Monthly,Preliminary,26,770,23.90%
1,MI,Not Adj,13,"Baraga County, MI",County,4,3107,3338,July,3,2019,Monthly,Final,26,231,6.90%
1,MI,Not Adj,13,"Baraga County, MI",County,4,3088,3282,August,3,2019,Monthly,Final,26,194,5.90%
1,MI,Not Adj,13,"Baraga County, MI",County,4,3035,3173,September,3,2019,Monthly,Final,26,138,4.30%
1,MI,Not Adj,13,"Baraga County, MI",County,4,3044,3176,October,3,2019,Monthly,Final,26,132,4.20%
1,MI,Not Adj,13,"Baraga County, MI",County,4,3019,3177,November,3,2019,Monthly,Final,26,158,5.00%
1,MI,Not Adj,13,"Baraga County, MI",County,4,2980,3195,December,3,2019,Monthly,Final,26,215,6.70%
1,MI,Not Adj,15,"Barry County, MI",County,4,30333,31632,January,3,2019,Monthly,Final,26,1299,4.10%
1,MI,Not Adj,15,"Barry County, MI",County,4,30678,31903,February,3,2019,Monthly,Final,26,1225,3.80%
1,MI,Not Adj,15,"Barry County, MI",County,4,30623,31883,March,3,2019,Monthly,Final,26,1260,4.00%
1,MI,Not Adj,15,"Barry County, MI",County,4,30605,31546,April,3,2019,Monthly,Final,26,941,3.00%
1,MI,Not Adj,15,"Barry County, MI",County,4,30828,31759,May,3,2019,Monthly,Final,26,931,2.90%
1,MI,Not Adj,15,"Barry County, MI",County,4,30995,32088,June,3,2019,Monthly,Final,26,1093,3.40%
1,MI,Not Adj,15,"Barry County, MI",County,4,30494,31632,January,3,2020,Monthly,Final,26,1138,3.60%
1,MI,Not Adj,15,"Barry County, MI",County,4,31185,32186,February,3,2020,Monthly,Final,26,1001,3.10%
1,MI,Not Adj,15,"Barry County, MI",County,4,30442,31453,March,3,2020,Monthly,Final,26,1011,3.20%
1,MI,Not Adj,15,"Barry County, MI",County,4,23305,29895,April,3,2020,Monthly,Final,26,6590,22.00%
1,MI,Not Adj,15,"Barry County, MI",County,4,26299,31445,May,3,2020,Monthly,Preliminary,26,5146,16.40%
1,MI,Not Adj,15,"Barry County, MI",County,4,30588,31888,July,3,2019,Monthly,Final,26,1300,4.10%
1,MI,Not Adj,15,"Barry County, MI",County,4,30704,31712,August,3,2019,Monthly,Final,26,1008,3.20%
1,MI,Not Adj,15,"Barry County, MI",County,4,30478,31306,September,3,2019,Monthly,Final,26,828,2.60%
1,MI,Not Adj,15,"Barry County, MI",County,4,30590,31347,October,3,2019,Monthly,Final,26,757,2.40%
