weekEnding,county,claims
1/19/19,Butler,33
1/19/19,Lafayette,41
1/19/19,Caldwell,7
1/19/19,Howard,15
1/19/19,Monroe,8
1/19/19,Mercer,5
1/19/19,Stoddard,34
1/19/19,Atchison,0
1/19/19,Ste. Genevieve,26
1/5/19,Warren,38
1/5/19,Pemiscot,12
1/5/19,Ralls,14
1/5/19,Dent,9
1/5/19,Jasper,94
1/5/19,Grundy,7
1/5/19,Lewis,4
1/5/19,Lincoln,71
1/5/19,Osage,13
1/5/19,Taney,845
1/5/19,Benton,29
1/5/19,Atchison,3
1/5/19,Knox,1
1/5/19,Chariton,3
1/5/19,Sullivan,1
1/5/19,Lafayette,30
1/5/19,Monroe,6
1/5/19,Gasconade,14
1/5/19,Stoddard,40
1/5/19,St. Charles,252
1/5/19,Stone,260
1/5/19,Miller,41
1/5/19,Putnam,1
1/5/19,Newton,38
1/5/19,St. Francois,72
1/5/19,Worth,2
1/5/19,Crawford,34
1/5/19,Shelby,10
1/5/19,McDonald,22
1/5/19,Dade,4
1/5/19,Audrain,22
1/5/19,Ozark,8
1/5/19,Wright,26
1/5/19,Greene,192
1/5/19,Lawrence,59
1/5/19,Iron,14
1/5/19,Jefferson,224
1/5/19,Jackson,535
1/5/19,Cole,41
1/5/19,Douglas,16
1/5/19,Shannon,17
1/5/19,Holt,4
1/5/19,Carter,9
1/5/19,Dallas,13
1/5/19,Linn,14
1/5/19,Butler,133
1/5/19,Clark,3
1/5/19,Gentry,5
1/5/19,Madison,14
1/5/19,Andrew,13
1/5/19,Maries,3
1/5/19,Mercer,2
1/5/19,Howell,16
1/5/19,Macon,13
1/5/19,Carroll,10
1/5/19,DeKalb,7
1/5/19,Johnson,49
1/5/19,Barton,11
1/5/19,Saline,15
1/5/19,Adair,14
1/5/19,Barry,35
1/5/19,Franklin,118
1/5/19,Callaway,20
1/5/19,Polk,30
1/5/19,Marion,20
1/5/19,Livingston,9
1/5/19,Clay,158
1/5/19,Wayne,18
1/5/19,Scott,24
1/5/19,Schuyler,2
1/5/19,Mississippi,18
1/5/19,Nodaway,17
1/5/19,Harrison,8
1/5/19,Platte,47
1/5/19,Certified Mail,0
1/5/19,Ripley,28
1/5/19,Reynolds,10
1/5/19,Pulaski,55
1/5/19,Cape Girardeau,45
1/5/19,Buchanan,71
1/5/19,New Madrid,15
1/5/19,Moniteau,19
1/5/19,Vernon,15
1/5/19,St. Louis City,317
1/5/19,Cedar,8
1/5/19,Pettis,52
1/5/19,Bollinger,18
1/5/19,Phelps,18
1/5/19,Camden,61
1/5/19,Caldwell,7
1/5/19,Clinton,17
1/5/19,St. Clair,8
1/5/19,Pike,13
1/5/19,Daviess,7
1/5/19,Perry,9
1/5/19,Christian,108
1/5/19,Washington,44
1/5/19,Hickory,5
1/5/19,Ste. Genevieve,25
1/5/19,Cass,99
1/5/19,Bates,20
1/5/19,Dunklin,44
1/5/19,Montgomery,14
1/5/19,Scotland,4
1/5/19,Webster,27
1/5/19,Morgan,16
1/5/19,Laclede,114
1/5/19,Howard,15
1/5/19,St. Louis,713
1/5/19,Texas,13
1/5/19,Boone,99
1/5/19,Ray,27
1/5/19,Cooper,14
1/5/19,Randolph,23
1/5/19,Oregon,6
1/5/19,Henry,25
12/29/18,Harrison,4
12/29/18,Miller,31
