state_name,state_fips,state_abbrev,county_name,county_fips,year,date,initial_claims,,,,,
Nevada,32,NV,White Pine,32033,2020,3/7/20,0,,,,,
Nevada,32,NV,Carson City,32510,2020,3/14/20,43,,,,,
Nevada,32,NV,Churchill,32001,2020,3/14/20,9,,,,,
Nevada,32,NV,Clark,32003,2020,3/14/20,6070,,,,,
Nevada,32,NV,Douglas,32005,2020,3/14/20,20,,,,,
Nevada,32,NV,Elko,32007,2020,3/14/20,24,,,,,
Nevada,32,NV,Esmeralda,32009,2020,3/14/20,1,,,,,
Nevada,32,NV,Eureka,32011,2020,3/14/20,0,,,,,
Nevada,32,NV,Humboldt,32013,2020,3/14/20,5,,,,,
Nevada,32,NV,Lander,32015,2020,3/14/20,2,,,,,
Nevada,32,NV,Lincoln,32017,2020,3/14/20,1,,,,,
Nevada,32,NV,Lyon,32019,2020,3/14/20,38,,,,,
Nevada,32,NV,Mineral,32021,2020,3/14/20,3,,,,,
Nevada,32,NV,Nye,32023,2020,3/14/20,31,,,,,
Nevada,32,NV,Pershing,32027,2020,3/14/20,3,,,,,
Nevada,32,NV,Storey,32029,2020,3/14/20,0,,,,,
Nevada,32,NV,Washoe,32031,2020,3/14/20,318,,,,,
Nevada,32,NV,White Pine,32033,2020,3/14/20,4,,,,,
Nevada,32,NV,Carson City,32510,2020,3/21/20,381,,,,,
Nevada,32,NV,Churchill,32001,2020,3/21/20,101,,,,,
Nevada,32,NV,Clark,32003,2020,3/21/20,17809,,,,,
Nevada,32,NV,Douglas,32005,2020,3/21/20,212,,,,,
Nevada,32,NV,Elko,32007,2020,3/21/20,205,,,,,
Nevada,32,NV,Esmeralda,32009,2020,3/21/20,4,,,,,
Nevada,32,NV,Eureka,32011,2020,3/21/20,6,,,,,
Nevada,32,NV,Humboldt,32013,2020,3/21/20,67,,,,,
Nevada,32,NV,Lander,32015,2020,3/21/20,39,,,,,
Nevada,32,NV,Lincoln,32017,2020,3/21/20,14,,,,,
Nevada,32,NV,Lyon,32019,2020,3/21/20,377,,,,,
Nevada,32,NV,Mineral,32021,2020,3/21/20,26,,,,,
Nevada,32,NV,Nye,32023,2020,3/21/20,234,,,,,
Nevada,32,NV,Pershing,32027,2020,3/21/20,21,,,,,
Nevada,32,NV,Storey,32029,2020,3/21/20,5,,,,,
Nevada,32,NV,Washoe,32031,2020,3/21/20,2470,,,,,
Nevada,32,NV,White Pine,32033,2020,3/21/20,42,,,,,
Nevada,32,NV,Carson City,32510,2020,3/28/20,1153,,,,,
Nevada,32,NV,Churchill,32001,2020,3/28/20,223,,,,,
Nevada,32,NV,Clark,32003,2020,3/28/20,78983,,,,,
Nevada,32,NV,Douglas,32005,2020,3/28/20,652,,,,,
Nevada,32,NV,Elko,32007,2020,3/28/20,524,,,,,
Nevada,32,NV,Esmeralda,32009,2020,3/28/20,3,,,,,
Nevada,32,NV,Eureka,32011,2020,3/28/20,2,,,,,
Nevada,32,NV,Humboldt,32013,2020,3/28/20,108,,,,,
Nevada,32,NV,Lander,32015,2020,3/28/20,30,,,,,
Nevada,32,NV,Lincoln,32017,2020,3/28/20,23,,,,,
Nevada,32,NV,Lyon,32019,2020,3/28/20,793,,,,,
Nevada,32,NV,Mineral,32021,2020,3/28/20,46,,,,,
Nevada,32,NV,Nye,32023,2020,3/28/20,539,,,,,
Nevada,32,NV,Pershing,32027,2020,3/28/20,31,,,,,
Nevada,32,NV,Storey,32029,2020,3/28/20,25,,,,,
Nevada,32,NV,Washoe,32031,2020,3/28/20,8916,,,,,
Nevada,32,NV,White Pine,32033,2020,3/28/20,64,,,,,
Nevada,32,NV,Carson City,32510,2020,4/4/20,848,,,,,
Nevada,32,NV,Churchill,32001,2020,4/4/20,171,,,,,
Nevada,32,NV,Clark,32003,2020,4/4/20,58935,,,,,
Nevada,32,NV,Douglas,32005,2020,4/4/20,541,,,,,
Nevada,32,NV,Elko,32007,2020,4/4/20,569,,,,,
Nevada,32,NV,Esmeralda,32009,2020,4/4/20,3,,,,,
Nevada,32,NV,Eureka,32011,2020,4/4/20,8,,,,,
Nevada,32,NV,Humboldt,32013,2020,4/4/20,103,,,,,
Nevada,32,NV,Lander,32015,2020,4/4/20,31,,,,,
Nevada,32,NV,Lincoln,32017,2020,4/4/20,19,,,,,
Nevada,32,NV,Lyon,32019,2020,4/4/20,601,,,,,
Nevada,32,NV,Mineral,32021,2020,4/4/20,31,,,,,
Nevada,32,NV,Nye,32023,2020,4/4/20,511,,,,,
Nevada,32,NV,Pershing,32027,2020,4/4/20,28,,,,,
Nevada,32,NV,Storey,32029,2020,4/4/20,16,,,,,
Nevada,32,NV,Washoe,32031,2020,4/4/20,7664,,,,,
Nevada,32,NV,White Pine,32033,2020,4/4/20,47,,,,,
Nevada,32,NV,Carson City,32510,2020,4/11/20,943,,,,,
Nevada,32,NV,Churchill,32001,2020,4/11/20,232,,,,,
Nevada,32,NV,Clark,32003,2020,4/11/20,64889,,,,,
Nevada,32,NV,Douglas,32005,2020,4/11/20,735,,,,,
Nevada,32,NV,Elko,32007,2020,4/11/20,839,,,,,
Nevada,32,NV,Esmeralda,32009,2020,4/11/20,3,,,,,
Nevada,32,NV,Eureka,32011,2020,4/11/20,10,,,,,
Nevada,32,NV,Humboldt,32013,2020,4/11/20,112,,,,,
Nevada,32,NV,Lander,32015,2020,4/11/20,39,,,,,
Nevada,32,NV,Lincoln,32017,2020,4/11/20,28,,,,,
Nevada,32,NV,Lyon,32019,2020,4/11/20,722,,,,,
Nevada,32,NV,Mineral,32021,2020,4/11/20,23,,,,,
Nevada,32,NV,Nye,32023,2020,4/11/20,587,,,,,
Nevada,32,NV,Pershing,32027,2020,4/11/20,15,,,,,
Nevada,32,NV,Storey,32029,2020,4/11/20,23,,,,,
Nevada,32,NV,Washoe,32031,2020,4/11/20,9034,,,,,
Nevada,32,NV,White Pine,32033,2020,4/11/20,62,,,,,
Nevada,32,NV,Carson City,32510,2020,4/18/20,662,,,,,
Nevada,32,NV,Churchill,32001,2020,4/18/20,186,,,,,
Nevada,32,NV,Clark,32003,2020,4/18/20,47949,,,,,
Nevada,32,NV,Douglas,32005,2020,4/18/20,506,,,,,
Nevada,32,NV,Elko,32007,2020,4/18/20,579,,,,,
Nevada,32,NV,Esmeralda,32009,2020,4/18/20,2,,,,,
Nevada,32,NV,Eureka,32011,2020,4/18/20,12,,,,,
Nevada,32,NV,Humboldt,32013,2020,4/18/20,84,,,,,
Nevada,32,NV,Lander,32015,2020,4/18/20,20,,,,,
Nevada,32,NV,Lincoln,32017,2020,4/18/20,19,,,,,
Nevada,32,NV,Lyon,32019,2020,4/18/20,744,,,,,
Nevada,32,NV,Mineral,32021,2020,4/18/20,37,,,,,
Nevada,32,NV,Nye,32023,2020,4/18/20,382,,,,,
Nevada,32,NV,Pershing,32027,2020,4/18/20,16,,,,,
Nevada,32,NV,Storey,32029,2020,4/18/20,17,,,,,
Nevada,32,NV,Washoe,32031,2020,4/18/20,7734,,,,,
Nevada,32,NV,White Pine,32033,2020,4/18/20,36,,,,,
Nevada,32,NV,Carson City,32510,2020,4/25/20,539,,,,,
Nevada,32,NV,Churchill,32001,2020,4/25/20,184,,,,,
Nevada,32,NV,Clark,32003,2020,4/25/20,31495,,,,,
Nevada,32,NV,Douglas,32005,2020,4/25/20,372,,,,,
Nevada,32,NV,Elko,32007,2020,4/25/20,369,,,,,
Nevada,32,NV,Esmeralda,32009,2020,4/25/20,3,,,,,
Nevada,32,NV,Eureka,32011,2020,4/25/20,1,,,,,
Nevada,32,NV,Humboldt,32013,2020,4/25/20,128,,,,,
Nevada,32,NV,Lander,32015,2020,4/25/20,16,,,,,
Nevada,32,NV,Lincoln,32017,2020,4/25/20,3,,,,,
Nevada,32,NV,Lyon,32019,2020,4/25/20,889,,,,,
Nevada,32,NV,Mineral,32021,2020,4/25/20,18,,,,,
Nevada,32,NV,Nye,32023,2020,4/25/20,268,,,,,
Nevada,32,NV,Pershing,32027,2020,4/25/20,17,,,,,
Nevada,32,NV,Storey,32029,2020,4/25/20,13,,,,,
Nevada,32,NV,Washoe,32031,2020,4/25/20,5892,,,,,
Nevada,32,NV,White Pine,32033,2020,4/25/20,32,,,,,
Nevada,32,NV,Churchill,32001,2020,5/2/20,149,,,,,
Nevada,32,NV,Clark,32003,2020,5/2/20,35896,,,,,
Nevada,32,NV,Douglas,32005,2020,5/2/20,462,,,,,
Nevada,32,NV,Elko,32007,2020,5/2/20,398,,,,,
Nevada,32,NV,Esmeralda,32009,2020,5/2/20,2,,,,,
Nevada,32,NV,Eureka,32011,2020,5/2/20,7,,,,,
Nevada,32,NV,Humboldt,32013,2020,5/2/20,88,,,,,
Nevada,32,NV,Lander,32015,2020,5/2/20,31,,,,,
Nevada,32,NV,Lincoln,32017,2020,5/2/20,14,,,,,
Nevada,32,NV,Lyon,32019,2020,5/2/20,561,,,,,
Nevada,32,NV,Mineral,32021,2020,5/2/20,23,,,,,
Nevada,32,NV,Nye,32023,2020,5/2/20,315,,,,,
Nevada,32,NV,Pershing,32027,2020,5/2/20,17,,,,,
Nevada,32,NV,Storey,32029,2020,5/2/20,11,,,,,
Nevada,32,NV,Washoe,32031,2020,5/2/20,5630,,,,,
Nevada,32,NV,White Pine,32033,2020,5/2/20,31,,,,,
Nevada,32,NV,Churchill,32001,2020,5/9/20,100,,,,,
Nevada,32,NV,Clark,32003,2020,5/9/20,19387,,,,,
Nevada,32,NV,Douglas,32005,2020,5/9/20,195,,,,,
Nevada,32,NV,Elko,32007,2020,5/9/20,200,,,,,
Nevada,32,NV,Esmeralda,32009,2020,5/9/20,0,,,,,
Nevada,32,NV,Eureka,32011,2020,5/9/20,2,,,,,
Nevada,32,NV,Humboldt,32013,2020,5/9/20,42,,,,,
Nevada,32,NV,Lander,32015,2020,5/9/20,16,,,,,
Nevada,32,NV,Lincoln,32017,2020,5/9/20,5,,,,,
Nevada,32,NV,Lyon,32019,2020,5/9/20,263,,,,,
Nevada,32,NV,Mineral,32021,2020,5/9/20,8,,,,,
Nevada,32,NV,Nye,32023,2020,5/9/20,169,,,,,
Nevada,32,NV,Pershing,32027,2020,5/9/20,10,,,,,
Nevada,32,NV,Storey,32029,2020,5/9/20,6,,,,,
Nevada,32,NV,Washoe,32031,2020,5/9/20,2849,,,,,
Nevada,32,NV,White Pine,32033,2020,5/9/20,16,,,,,
Nevada,32,NV,Unknown,,2020,5/9/20,1026,,,,,
Nevada,32,NV,Unknown,,2020,5/2/20,1175,,,,,
Nevada,32,NV,Unknown,,2020,4/25/20,1372,,,,,
Nevada,32,NV,Unknown,,2020,4/18/20,1153,,,,,
Nevada,32,NV,Unknown,,2020,4/11/20,1558,,,,,
Nevada,32,NV,Unknown,,2020,4/4/20,1741,,,,,
Nevada,32,NV,Unknown,,2020,3/28/20,1489,,,,,
Nevada,32,NV,Unknown,,2020,3/21/20,1204,,,,,
Nevada,32,NV,Unknown,,2020,3/14/20,109,,,,,
Nevada,32,NV,Unknown,,2020,3/7/20,95,,,,,
Nevada,32,NV,Unknown,,2020,2/29/20,84,,,,,
Nevada,32,NV,Unknown,,2020,2/22/20,88,,,,,
Nevada,32,NV,Unknown,,2020,2/15/20,88,,,,,
Nevada,32,NV,Unknown,,2020,2/8/20,108,,,,,
Nevada,32,NV,Unknown,,2020,2/1/20,128,,,,,
Nevada,32,NV,Unknown,,2020,1/25/20,116,,,,,
Nevada,32,NV,Unknown,,2020,1/18/20,140,,,,,
Nevada,32,NV,Unknown,,2020,1/11/20,157,,,,,
Nevada,32,NV,Unknown,,2020,1/4/20,109,,,,,
Nevada,32,NV,Churchill,32001,2020,5/16/20,64,,,,,
Nevada,32,NV,Clark,32003,2020,5/16/20,16440,,,,,
Nevada,32,NV,Douglas,32005,2020,5/16/20,151,,,,,
Nevada,32,NV,Elko,32007,2020,5/16/20,172,,,,,
Nevada,32,NV,Esmeralda,32009,2020,5/16/20,1,,,,,
Nevada,32,NV,Eureka,32011,2020,5/16/20,4,,,,,
Nevada,32,NV,Humboldt,32013,2020,5/16/20,30,,,,,
Nevada,32,NV,Lander,32015,2020,5/16/20,10,,,,,
Nevada,32,NV,Lincoln,32017,2020,5/16/20,9,,,,,
Nevada,32,NV,Lyon,32019,2020,5/16/20,190,,,,,
Nevada,32,NV,Mineral,32021,2020,5/16/20,16,,,,,
Nevada,32,NV,Nye,32023,2020,5/16/20,151,,,,,
Nevada,32,NV,Pershing,32027,2020,5/16/20,3,,,,,
Nevada,32,NV,Storey,32029,2020,5/16/20,4,,,,,
Nevada,32,NV,Washoe,32031,2020,5/16/20,2522,,,,,
Nevada,32,NV,White Pine,32033,2020,5/16/20,14,,,,,
Nevada,32,NV,Unknown,,2020,5/16/20,754,,,,,
Nevada,32,NV,Churchill,32001,2020,5/23/20,50,,,,,
Nevada,32,NV,Clark,32003,2020,5/23/20,14817,,,,,
Nevada,32,NV,Douglas,32005,2020,5/23/20,146,,,,,
Nevada,32,NV,Elko,32007,2020,5/23/20,132,,,,,
Nevada,32,NV,Esmeralda,32009,2020,5/23/20,2,,,,,
Nevada,32,NV,Eureka,32011,2020,5/23/20,3,,,,,
Nevada,32,NV,Humboldt,32013,2020,5/23/20,31,,,,,
Nevada,32,NV,Lander,32015,2020,5/23/20,12,,,,,
Nevada,32,NV,Lincoln,32017,2020,5/23/20,7,,,,,
Nevada,32,NV,Lyon,32019,2020,5/23/20,159,,,,,
Nevada,32,NV,Mineral,32021,2020,5/23/20,14,,,,,
Nevada,32,NV,Nye,32023,2020,5/23/20,129,,,,,
Nevada,32,NV,Pershing,32027,2020,5/23/20,5,,,,,
Nevada,32,NV,Storey,32029,2020,5/23/20,7,,,,,
Nevada,32,NV,Washoe,32031,2020,5/23/20,2034,,,,,
Nevada,32,NV,White Pine,32033,2020,5/23/20,15,,,,,
Nevada,32,NV,Unknown,,2020,5/23/20,733,,,,,
Nevada,32,NV,Churchill,32001,2020,5/30/20,47,,,,,
Nevada,32,NV,Clark,32003,2020,5/30/20,11571,,,,,
Nevada,32,NV,Douglas,32005,2020,5/30/20,98,,,,,
Nevada,32,NV,Elko,32007,2020,5/30/20,118,,,,,
Nevada,32,NV,Esmeralda,32009,2020,5/30/20,0,,,,,
Nevada,32,NV,Eureka,32011,2020,5/30/20,3,,,,,
Nevada,32,NV,Humboldt,32013,2020,5/30/20,19,,,,,
Nevada,32,NV,Lander,32015,2020,5/30/20,10,,,,,
Nevada,32,NV,Lincoln,32017,2020,5/30/20,5,,,,,
Nevada,32,NV,Lyon,32019,2020,5/30/20,132,,,,,
Nevada,32,NV,Mineral,32021,2020,5/30/20,9,,,,,
Nevada,32,NV,Nye,32023,2020,5/30/20,131,,,,,
Nevada,32,NV,Pershing,32027,2020,5/30/20,4,,,,,
Nevada,32,NV,Storey,32029,2020,5/30/20,4,,,,,
Nevada,32,NV,Washoe,32031,2020,5/30/20,1430,,,,,
Nevada,32,NV,White Pine,32033,2020,5/30/20,14,,,,,
Nevada,32,NV,Unknown,,2020,5/30/20,534,,,,,
