Area Type,Metric,Series title,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20
County,Labor Force, Howard County,186953,186931,187539,187025,188488,190942,191908,190556,189509,190141,189939,189696,189856,189709,189491,171159,"176,950",
County,Labor Force, Kent County,10559,10662,10565,10400,10325,10249,10354,10038,9813,9892,9654,9949,10286,10306,10285,9509,"9,711",
County,Labor Force, Montgomery County,560471,561602,561776,557918,560827,568944,576387,569244,568637,570834,569674,564087,564746,566018,565509,531818,"542,264",
County,Labor Force, Prince George's County,508247,508998,510971,508585,510349,514658,522224,513176,516247,519108,518677,516196,515346,519266,522403,488684,"499,754",
County,Labor Force, Queen Anne's County,28369,28453,28388,28137,28033,28001,28124,27752,27639,28018,27847,28181,28636,28526,28410,26235,"26,954",
County,Labor Force, Somerset County,9206,9198,9210,9263,9364,9689,9776,9497,9092,9029,8734,8967,9301,9257,9277,8316,"8,548",
County,Labor Force, St. Mary's County,56991,57097,57357,56776,57083,57742,58397,57708,57334,57687,57429,57301,57957,58016,58117,53645,"54,006",
County,Labor Force, Talbot County,19202,19308,19291,19117,19215,19380,19617,19408,19093,19568,19320,19398,18927,18919,18971,17594,"17,942",
County,Labor Force, Washington County,75204,74369,74792,74379,74529,75406,75776,74792,74728,76008,76577,76547,75898,75128,75220,69806,"71,514",
County,Labor Force, Wicomico County,49279,49628,49983,50516,52028,54774,55579,54672,52541,51174,50225,50287,50671,51050,51252,46835,"47,928",
County,Labor Force, Worcester County,25629,25668,25555,25482,25636,26586,26928,26456,25534,25140,25404,25750,26225,26012,26161,25550,"25,344",
City,Unemployment,Annapolis,791,739,698,554,670,736,744,675,610,623,587,522,685,701,678,2240,"2,133",
City,Unemployment,Bowie,1410,1163,1144,1032,1066,1192,1231,1196,1131,1164,1065,1005,1194,1174,1220,3401,"3,563",
City,Unemployment,College Park,798,781,674,595,597,947,941,864,747,629,567,593,670,688,542,1152,"1,188",
City,Unemployment,Frederick,1479,1420,1320,1128,1254,1403,1449,1336,1191,1233,1150,1075,1279,1274,1269,4053,"3,876",
City,Unemployment,Gaithersburg,1414,1263,1164,946,1079,1237,1232,1085,1016,1090,1008,940,1114,1165,1127,3550,"3,671",
City,Unemployment,Hagerstown,1016,1033,998,841,856,956,915,891,791,837,795,742,928,924,915,2669,"2,453",
City,Unemployment,Laurel,770,682,661,561,577,637,625,664,554,587,562,517,625,642,692,2123,"2,218",
City,Unemployment,Rockville,1278,1150,1117,940,1069,1221,1185,1049,974,973,937,889,999,1058,1028,2765,"2,951",
City,Unemployment,Salisbury,1011,965,871,793,728,885,860,847,725,688,717,732,845,832,789,2044,"1,880",
City,Employment,Annapolis,21673,21718,21827,21874,21979,22163,22262,22152,22102,22182,22186,22214,22158,22120,22120,18840,"19,529",
City,Employment,Bowie,33286,33562,33786,33768,33811,33959,34480,33895,34235,34417,34444,34352,34141,34409,34588,30217,"30,647",
City,Employment,College Park,14155,14273,14368,14360,14379,14442,14663,14414,14559,14636,14648,14609,14519,14633,14709,12850,"13,033",
City,Employment,Frederick,37126,37130,37268,37317,37332,37644,38080,37564,37514,37754,37618,37542,37603,37603,37596,33397,"33,755",
