Area,Time Period,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
Slope County,"January, 2020",389,380,9,2.30%,No
Stark County,"January, 2020","18,103","17,651",452,2.50%,No
Steele County,"January, 2020",942,925,17,1.80%,No
Stutsman County,"January, 2020","10,049","9,776",273,2.70%,No
Towner County,"January, 2020","1,030","1,001",29,2.80%,No
Traill County,"January, 2020","4,304","4,184",120,2.80%,No
Walsh County,"January, 2020","4,940","4,766",174,3.50%,No
Ward County,"January, 2020","30,849","29,918",931,3.00%,No
Wells County,"January, 2020","1,837","1,745",92,5.00%,No
Williams County,"January, 2020","23,747","23,259",488,2.10%,No
Richland County,"February, 2020","8,393","8,185",208,2.50%,No
Rolette County,"February, 2020","4,557","4,162",395,8.70%,No
Sargent County,"February, 2020","2,607","2,565",42,1.60%,No
Sheridan County,"February, 2020",659,606,53,8.00%,No
Sioux County,"February, 2020","1,203","1,167",36,3.00%,No
Slope County,"February, 2020",387,378,9,2.30%,No
Stark County,"February, 2020","18,147","17,695",452,2.50%,No
Steele County,"February, 2020",938,921,17,1.80%,No
Stutsman County,"February, 2020","10,055","9,788",267,2.70%,No
Towner County,"February, 2020","1,028",999,29,2.80%,No
Traill County,"February, 2020","4,311","4,195",116,2.70%,No
Walsh County,"February, 2020","4,928","4,757",171,3.50%,No
Ward County,"February, 2020","30,940","29,979",961,3.10%,No
Wells County,"February, 2020","1,830","1,743",87,4.80%,No
Williams County,"February, 2020","23,774","23,280",494,2.10%,No
Richland County,"March, 2020","8,534","8,341",193,2.30%,No
Rolette County,"March, 2020","4,570","4,171",399,8.70%,No
Sargent County,"March, 2020","2,710","2,665",45,1.70%,No
Sheridan County,"March, 2020",677,633,44,6.50%,No
Sioux County,"March, 2020","1,217","1,183",34,2.80%,No
Slope County,"March, 2020",390,383,7,1.80%,No
Stark County,"March, 2020","18,438","17,999",439,2.40%,No
Steele County,"March, 2020",984,969,15,1.50%,No
Stutsman County,"March, 2020","10,316","10,074",242,2.30%,No
Towner County,"March, 2020","1,093","1,071",22,2.00%,No
Traill County,"March, 2020","4,401","4,252",149,3.40%,No
