Alaska Labor Force -- All Areas, Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,,
Area Name,Area Type,Area Code,Year,Month,period,Preliminary if value is 1,Labor Force,Employment,Unemployment,Unemployment Rate
Alaska,1,0,1987,March,3,0,245892,216343,29549,12
Alaska,1,0,1987,April,4,0,243697,216598,27099,11.1
Alaska,1,0,1987,May,5,0,249563,223140,26423,10.6
Alaska,1,0,1987,June,6,0,255858,228540,27318,10.7
Alaska,1,0,1987,July,7,0,257785,234343,23442,9.1
Alaska,1,0,1987,August,8,0,253150,231556,21594,8.5
Alaska,1,0,1987,September,9,0,247545,225378,22167,9
Alaska,1,0,1987,October,10,0,246468,223898,22570,9.2
Alaska,1,0,1987,November,11,0,245420,222037,23383,9.5
Alaska,1,0,1987,December,12,0,244633,221293,23340,9.5
Alaska,1,0,1987,Annual,0,0,248599,223042,25557,10.3
Alaska,1,0,1988,January,1,0,243592,218060,25532,10.5
Alaska,1,0,1988,February,2,0,244264,218002,26262,10.8
Alaska,1,0,1988,March,3,0,244236,218908,25328,10.4
Alaska,1,0,1988,April,4,0,242687,219545,23142,9.5
Alaska,1,0,1988,May,5,0,247983,225361,22622,9.1
Alaska,1,0,1988,June,6,0,255162,232370,22792,8.9
Alaska,1,0,1988,July,7,0,259493,239479,20014,7.7
Alaska,1,0,1988,August,8,0,255038,236318,18720,7.3
Alaska,1,0,1988,September,9,0,250264,231513,18751,7.5
Alaska,1,0,1988,October,10,0,248650,229143,19507,7.8
Alaska,1,0,1988,November,11,0,247983,227772,20211,8.2
Alaska,1,0,1988,December,12,0,246983,227150,19833,8
Alaska,1,0,1988,Annual,0,0,248861,226968,21892,8.8
Alaska,1,0,1989,January,1,0,246386,224450,21936,8.9
Alaska,1,0,1989,February,2,0,247483,225113,22370,9
Alaska,1,0,1989,March,3,0,247496,227195,20301,8.2
Alaska,1,0,1989,April,4,0,247510,229397,18113,7.3
Alaska,1,0,1989,May,5,0,254620,237575,17045,6.7
Alaska,1,0,1989,June,6,0,262893,245024,17869,6.8
Alaska,1,0,1989,July,7,0,267721,252282,15439,5.8
Alaska,1,0,1989,August,8,0,264313,250046,14267,5.4
Alaska,1,0,1989,September,9,0,259149,243666,15483,6
Alaska,1,0,1989,October,10,0,256863,240622,16241,6.3
Alaska,1,0,1989,November,11,0,256678,238877,17801,6.9
Alaska,1,0,1989,December,12,0,256281,237980,18301,7.1
Alaska,1,0,1989,Annual,0,0,255616,237685,17930,7
Alaska,1,0,1990,January,1,0,258635,236755,21880,8.5
Alaska,1,0,1990,February,2,0,260494,238153,22341,8.6
Alaska,1,0,1990,March,3,0,262051,240634,21417,8.2
Alaska,1,0,1990,April,4,0,262025,242127,19898,7.6
Alaska,1,0,1990,May,5,0,269046,249569,19477,7.2
Alaska,1,0,1990,June,6,0,276333,256826,19507,7.1
Alaska,1,0,1990,July,7,0,279877,262824,17053,6.1
Alaska,1,0,1990,August,8,0,276257,259569,16688,6
Alaska,1,0,1990,September,9,0,270258,253386,16872,6.2
Alaska,1,0,1990,October,10,0,268859,250930,17929,6.7
Alaska,1,0,1990,November,11,0,268819,249346,19473,7.2
Alaska,1,0,1990,December,12,0,268416,248342,20074,7.5
Alaska,1,0,1990,Annual,0,0,268422,249038,19384,7.2
Alaska,1,0,1991,January,1,0,267244,244088,23156,8.7
Alaska,1,0,1991,February,2,0,268729,244393,24336,9.1
Alaska,1,0,1991,March,3,0,269871,245860,24011,8.9
Alaska,1,0,1991,April,4,0,270792,247758,23034,8.5
Alaska,1,0,1991,May,5,0,276415,253815,22600,8.2
Alaska,1,0,1991,June,6,0,284044,260027,24017,8.5
Alaska,1,0,1991,July,7,0,287685,265958,21727,7.6
Alaska,1,0,1991,August,8,0,282600,261865,20735,7.3
Alaska,1,0,1991,September,9,0,277850,255939,21911,7.9
Alaska,1,0,1991,October,10,0,276870,253580,23290,8.4
Alaska,1,0,1991,November,11,0,276874,251578,25296,9.1
Alaska,1,0,1991,December,12,0,276343,250193,26150,9.5
Alaska,1,0,1991,Annual,0,0,276276,252921,23355,8.5
Alaska,1,0,1992,January,1,0,278557,249120,29437,10.6
Alaska,1,0,1992,February,2,0,280400,250482,29918,10.7
Alaska,1,0,1992,March,3,0,281383,252558,28825,10.2
Alaska,1,0,1992,April,4,0,281284,254452,26832,9.5
Alaska,1,0,1992,May,5,0,287656,261553,26103,9.1
Alaska,1,0,1992,June,6,0,294937,268064,26873,9.1
Alaska,1,0,1992,July,7,0,299130,275377,23753,7.9
Alaska,1,0,1992,August,8,0,294467,272480,21987,7.5
Alaska,1,0,1992,September,9,0,289418,266964,22454,7.8
Alaska,1,0,1992,October,10,0,286794,263690,23104,8.1
Alaska,1,0,1992,November,11,0,286349,262269,24080,8.4
Alaska,1,0,1992,December,12,0,286208,262474,23734,8.3
Alaska,1,0,1992,Annual,0,0,287216,261624,25592,8.9
Alaska,1,0,1993,January,1,0,285946,260165,25781,9
Alaska,1,0,1993,February,2,0,287726,261465,26261,9.1
Alaska,1,0,1993,March,3,0,288995,263711,25284,8.7
Alaska,1,0,1993,April,4,0,288744,265174,23570,8.2
Alaska,1,0,1993,May,5,0,295714,272508,23206,7.8
Alaska,1,0,1993,June,6,0,303001,279520,23481,7.7
Alaska,1,0,1993,July,7,0,306859,286434,20425,6.7
Alaska,1,0,1993,August,8,0,302431,283390,19041,6.3
Alaska,1,0,1993,September,9,0,297441,277559,19882,6.7
Alaska,1,0,1993,October,10,0,296701,275816,20885,7
Alaska,1,0,1993,November,11,0,296310,274016,22294,7.5
Alaska,1,0,1993,December,12,0,295316,272749,22567,7.6
