Claims Week Ending,County,Continued Week claims,Total Initial Claims
6/6/20,Lewis?,473,43
6/6/20,Lincoln?,"1,463",77
6/6/20,Loudon?,"2,076",117
6/6/20,Macon?,802,100
6/6/20,Madison?,"4,519",333
6/6/20,Marion?,"1,031",85
6/6/20,Marshall?,"2,420",87
6/6/20,Maury?,"6,800",285
6/6/20,McMinn?,"2,381",175
6/6/20,McNairy?,637,53
6/6/20,Meigs?,551,65
6/6/20,Monroe?,"2,223",118
6/6/20,Montgomery?,"7,216",591
6/6/20,Moore?,214,5
6/6/20,Morgan?,360,27
6/6/20,Obion?,673,78
6/6/20,Overton?,573,27
6/6/20,Perry?,339,34
6/6/20,Pickett?,93,16
6/6/20,Polk?,483,49
6/6/20,Putnam?,"2,970",169
6/6/20,Rhea?,"1,435",92
6/6/20,Roane?,"1,438",107
6/6/20,Robertson?,"2,979",173
6/6/20,Rutherford?,"21,104",970
6/6/20,Scott?,752,58
6/6/20,Sequatchie?,506,29
6/6/20,Sevier?,"8,713",227
6/6/20,Shelby?,"49,331","5,569"
6/6/20,Smith?,680,30
6/6/20,Stewart?,260,24
6/6/20,Sullivan?,"5,233",350
6/6/20,Sumner?,"8,792",439
6/6/20,Tipton?,"1,708",176
6/6/20,Trousdale?,371,35
6/6/20,Unicoi?,489,27
6/6/20,Union?,476,31
6/6/20,Van Buren?,188,9
6/6/20,Warren?,"2,437",89
6/6/20,Washington?,"4,546",306
6/6/20,Wayne?,315,19
6/6/20,Weakley?,754,67
6/6/20,White?,"1,063",65
6/6/20,Williamson?,"7,058",400
6/6/20,Wilson?,"6,426",333
5/30/20,Anderson?,"2,963",187
5/30/20,Bedford?,"2,718",121
5/30/20,Benton?,595,46
5/30/20,Bledsoe?,280,19
5/30/20,Blount?,"5,069",325
5/30/20,Bradley?,"4,596",452
5/30/20,Campbell?,"1,222",69
5/30/20,Cannon?,634,26
5/30/20,Carroll?,976,58
5/30/20,Carter?,"1,294",92
5/30/20,Cheatham?,"1,465",99
5/30/20,Chester?,533,24
5/30/20,Claiborne?,"1,095",69
5/30/20,Clay?,153,9
5/30/20,Cocke?,"2,364",100
5/30/20,Coffee?,"3,870",158
5/30/20,Crockett?,390,36
5/30/20,Cumberland?,"1,648",126
5/30/20,Davidson?,"50,284","2,695"
5/30/20,Decatur?,434,21
5/30/20,DeKalb?,"1,269",48
5/30/20,Dickson?,"1,901",116
5/30/20,Dyer?,"1,461",149
5/30/20,Fayette?,"1,160",106
5/30/20,Fentress?,414,50
5/30/20,Franklin?,"2,611",82
5/30/20,Gibson?,"1,716",122
5/30/20,Giles?,"1,694",77
5/30/20,Grainger?,848,44
5/30/20,Greene?,"3,176",208
5/30/20,Grundy?,795,24
5/30/20,Hamblen?,"2,853",145
5/30/20,Hamilton?,"16,609","1,082"
5/30/20,Hancock?,167,12
5/30/20,Hardeman?,645,67
5/30/20,Hardin?,575,62
5/30/20,Hawkins?,"2,120",115
5/30/20,Haywood?,717,58
5/30/20,Henderson?,"1,292",65
5/30/20,Henry?,"1,018",73
5/30/20,Hickman?,784,42
5/30/20,Houston?,234,18
5/30/20,Humphreys?,507,40
5/30/20,Jackson?,360,24
5/30/20,Jefferson?,"2,543",122
5/30/20,Johnson?,518,34
5/30/20,Knox?,"18,988","1,170"
5/30/20,Lake?,114,19
5/30/20,Lauderdale?,"1,055",97
5/30/20,Lawrence?,"2,210",109
5/30/20,Lewis?,505,20
5/30/20,Lincoln?,"1,500",49
5/30/20,Loudon?,"1,961",130
5/30/20,Macon?,836,58
5/30/20,Madison?,"4,749",307
5/30/20,Marion?,976,52
5/30/20,Marshall?,"2,575",80
5/30/20,Maury?,"7,896",277
5/30/20,McMinn?,"2,534",206
5/30/20,McNairy?,770,83
5/30/20,Meigs?,573,61
5/30/20,Monroe?,"2,321",138
5/30/20,Montgomery?,"7,473",604
5/30/20,Moore?,222,3
5/30/20,Morgan?,355,41
5/30/20,Obion?,666,57
5/30/20,Overton?,651,67
5/30/20,Perry?,405,20
5/30/20,Pickett?,104,3
5/30/20,Polk?,573,59
5/30/20,Putnam?,"3,170",204
5/30/20,Rhea?,"1,488",83
5/30/20,Roane?,"1,496",119
5/30/20,Robertson?,"3,072",209
5/30/20,Rutherford?,"22,064",986
5/30/20,Scott?,808,40
5/30/20,Sequatchie?,505,24
5/30/20,Sevier?,"9,753",252
5/30/20,Shelby?,"47,658","5,550"
5/30/20,Smith?,721,29
5/30/20,Stewart?,291,23
5/30/20,Sullivan?,"5,436",305
5/30/20,Sumner?,"9,196",494
5/30/20,Tipton?,"1,720",148
5/30/20,Trousdale?,421,31
5/30/20,Unicoi?,521,36
5/30/20,Union?,483,43
5/30/20,Van Buren?,207,12
5/30/20,Warren?,"3,031",90
5/30/20,Washington?,"4,740",282
5/30/20,Wayne?,342,23
5/30/20,Weakley?,754,50
5/30/20,White?,"1,234",65
5/30/20,Williamson?,"7,612",392
5/30/20,Wilson?,"6,737",326
5/23/20,Anderson?,"3,236",235
5/23/20,Bedford?,"2,759",179
5/23/20,Benton?,613,71
5/23/20,Bledsoe?,311,16
5/23/20,Blount?,"5,419",367
5/23/20,Bradley?,"4,697",720
5/23/20,Campbell?,"1,392",88
5/23/20,Cannon?,648,45
5/23/20,Carroll?,"1,042",95
5/23/20,Carter?,"1,387",114
5/23/20,Cheatham?,"1,587",90
5/23/20,Chester?,549,36
5/23/20,Claiborne?,"1,115",94
5/23/20,Clay?,180,28
5/23/20,Cocke?,"2,603",115
5/23/20,Coffee?,"3,784",239
5/23/20,Crockett?,412,85
5/23/20,Cumberland?,"1,699",145
5/23/20,Davidson?,"50,830","3,228"
5/23/20,Decatur?,464,34
5/23/20,DeKalb?,"1,261",59
5/23/20,Dickson?,"2,096",133
5/23/20,Dyer?,"1,606",128
5/23/20,Fayette?,"1,263",159
5/23/20,Fentress?,374,40
5/23/20,Franklin?,"2,668",131
5/23/20,Gibson?,"1,825",147
5/23/20,Giles?,"1,811",82
5/23/20,Grainger?,849,51
5/23/20,Greene?,"3,326",256
5/23/20,Grundy?,780,37
5/23/20,Hamblen?,"2,818",185
5/23/20,Hamilton?,"18,282","1,321"
5/23/20,Hancock?,179,32
5/23/20,Hardeman?,597,91
5/23/20,Hardin?,596,69
5/23/20,Hawkins?,"2,227",173
5/23/20,Haywood?,682,83
5/23/20,Henderson?,"1,282",104
5/23/20,Henry?,"1,089",100
5/23/20,Hickman?,838,72
5/23/20,Houston?,251,39
5/23/20,Humphreys?,598,44
5/23/20,Jackson?,381,30
5/23/20,Jefferson?,"2,653",129
5/23/20,Johnson?,543,31
5/23/20,Knox?,"19,848","1,312"
5/23/20,Lake?,126,23
5/23/20,Lauderdale?,"1,051",134
5/23/20,Lawrence?,"2,302",127
5/23/20,Lewis?,548,41
5/23/20,Lincoln?,"1,513",100
5/23/20,Loudon?,"2,130",166
5/23/20,Macon?,864,88
5/23/20,Madison?,"4,880",395
5/23/20,Marion?,"1,032",67
5/23/20,Marshall?,"2,740",98
5/23/20,Maury?,"8,432",366
5/23/20,McMinn?,"2,614",210
5/23/20,McNairy?,663,70
5/23/20,Meigs?,588,82
5/23/20,Monroe?,"2,617",150
5/23/20,Montgomery?,"8,039",739
5/23/20,Moore?,236,12
5/23/20,Morgan?,391,37
5/23/20,Obion?,729,48
5/23/20,Overton?,724,47
5/23/20,Perry?,426,37
5/23/20,Pickett?,122,19
5/23/20,Polk?,546,85
5/23/20,Putnam?,"3,396",232
5/23/20,Rhea?,"1,628",94
5/23/20,Roane?,"1,551",130
5/23/20,Robertson?,"3,159",218
5/23/20,Rutherford?,"22,465","1,265"
5/23/20,Scott?,802,75
5/23/20,Sequatchie?,568,34
5/23/20,Sevier?,"10,806",265
5/23/20,Shelby?,"46,186","5,571"
5/23/20,Smith?,772,67
5/23/20,Stewart?,286,36
5/23/20,Sullivan?,"5,688",396
5/23/20,Sumner?,"9,504",595
5/23/20,Tipton?,"1,864",167
5/23/20,Trousdale?,402,34
5/23/20,Unicoi?,509,52
5/23/20,Union?,498,49
5/23/20,Van Buren?,182,15
5/23/20,Warren?,"2,539",145
5/23/20,Washington?,"5,022",343
5/23/20,Wayne?,350,27
5/23/20,Weakley?,815,58
5/23/20,White?,"1,203",91
5/23/20,Williamson?,"7,923",505
5/23/20,Wilson?,"6,842",557
5/16/20,Anderson?,"3,391",236
5/16/20,Bedford?,"2,836",158
5/16/20,Benton?,649,58
5/16/20,Bledsoe?,324,16
5/16/20,Blount?,"5,731",369
5/16/20,Bradley?,"4,592",673
5/16/20,Campbell?,"1,433",102
5/16/20,Cannon?,676,35
5/16/20,Carroll?,"1,072",90
5/16/20,Carter?,"1,405",108
5/16/20,Cheatham?,"1,618",81
5/16/20,Chester?,566,52
5/16/20,Claiborne?,"1,667",91
5/16/20,Clay?,175,17
5/16/20,Cocke?,"2,753",119
5/16/20,Coffee?,"3,853",228
5/16/20,Crockett?,481,237
5/16/20,Cumberland?,"1,694",191
5/16/20,Davidson?,"50,393","3,555"
5/16/20,Decatur?,473,47
5/16/20,DeKalb?,"1,325",82
5/16/20,Dickson?,"2,263",141
5/16/20,Dyer?,"1,682",102
5/16/20,Fayette?,"1,375",245
5/16/20,Fentress?,415,72
5/16/20,Franklin?,"2,822",127
5/16/20,Gibson?,"1,882",145
5/16/20,Giles?,"1,900",92
5/16/20,Grainger?,863,61
5/16/20,Greene?,"3,418",243
5/16/20,Grundy?,842,42
5/16/20,Hamblen?,"3,039",192
5/16/20,Hamilton?,"18,825","1,267"
5/16/20,Hancock?,196,23
5/16/20,Hardeman?,644,95
5/16/20,Hardin?,571,63
5/16/20,Hawkins?,"2,304",150
5/16/20,Haywood?,678,80
5/16/20,Henderson?,"1,250",137
5/16/20,Henry?,"1,184",100
5/16/20,Hickman?,850,71
5/16/20,Houston?,254,37
5/16/20,Humphreys?,592,31
5/16/20,Jackson?,421,30
5/16/20,Jefferson?,"2,823",146
5/16/20,Johnson?,557,36
5/16/20,Knox?,"21,010","1,433"
