Claims Week Ending,County,Continued Week claims,Total Initial Claims
3/21/20,Trousdale?,24,46
3/21/20,Unicoi?,70,43
3/21/20,Union?,24,42
3/21/20,Van Buren?,16,20
3/21/20,Warren?,85,276
3/21/20,Washington?,257,489
3/21/20,Wayne?,45,32
3/21/20,Weakley?,55,69
3/21/20,White?,76,87
3/21/20,Williamson?,289,910
3/21/20,Wilson?,267,903
3/14/20,Anderson?,136,40
3/14/20,Bedford?,109,12
3/14/20,Benton?,77,7
3/14/20,Bledsoe?,29,6
3/14/20,Blount?,307,32
3/14/20,Bradley?,263,54
3/14/20,Campbell?,89,18
3/14/20,Cannon?,18,4
3/14/20,Carroll?,98,23
3/14/20,Carter?,96,19
3/14/20,Cheatham?,69,13
3/14/20,Claiborne?,56,10
3/14/20,Clay?,24,2
3/14/20,Cocke?,214,6
3/14/20,Coffee?,149,16
3/14/20,Crockett?,71,52
3/14/20,Cumberland?,227,21
3/14/20,Davidson?,"1,296",332
3/14/20,Decatur?,39,8
3/14/20,DeKalb?,49,7
3/14/20,Dickson?,86,16
3/14/20,Dyer?,116,15
3/14/20,Fayette?,68,21
3/14/20,Fentress?,33,1
3/14/20,Franklin?,103,6
3/14/20,Gibson?,150,15
3/14/20,Giles?,150,15
3/14/20,Grainger?,90,3
3/14/20,Greene?,251,21
3/14/20,Grundy?,27,2
3/14/20,Hamblen?,196,15
3/14/20,Hamilton?,888,124
3/14/20,Hancock?,10,7
3/14/20,Hardeman?,70,11
3/14/20,Hardin?,69,16
3/14/20,Hawkins?,152,13
3/14/20,Haywood?,59,20
3/14/20,Henderson?,75,8
3/14/20,Henry?,98,7
3/14/20,Hickman?,38,6
3/14/20,Houston?,47,10
3/14/20,Humphreys?,68,11
3/14/20,Jackson?,33,4
3/14/20,Jefferson?,191,13
3/14/20,Johnson?,38,4
3/14/20,Knox?,841,147
3/14/20,Lake?,18,3
3/14/20,Lauderdale?,95,11
3/14/20,Lawrence?,125,16
3/14/20,Lewis?,17,2
3/14/20,Lincoln?,352,15
3/14/20,Loudon?,115,12
3/14/20,Macon?,35,8
3/14/20,Madison?,228,29
3/14/20,Marion?,68,6
3/14/20,Marshall?,79,11
3/14/20,Maury?,223,26
3/14/20,McMinn?,107,23
3/14/20,McNairy?,60,5
3/14/20,Meigs?,44,10
3/14/20,Monroe?,133,13
3/14/20,Montgomery?,377,90
3/14/20,Moore?,11,2
3/14/20,Morgan?,45,4
3/14/20,Obion?,90,8
3/14/20,Overton?,65,2
3/14/20,Perry?,13,1
3/14/20,Pickett?,16,4
3/14/20,Polk?,34,4
3/14/20,Putnam?,144,21
3/14/20,Rhea?,141,31
3/14/20,Roane?,162,10
3/14/20,Robertson?,121,38
3/14/20,Rutherford?,538,113
3/14/20,Scott?,134,9
3/14/20,Sequatchie?,30,5
3/14/20,Sevier?,881,28
3/14/20,Shelby?,"2,651",427
3/14/20,Smith?,38,9
3/14/20,Stewart?,33,5
3/14/20,Sullivan?,314,31
3/14/20,Sumner?,321,61
3/14/20,Tipton?,154,24
3/14/20,Trousdale?,21,8
3/14/20,Unicoi?,67,7
3/14/20,Union?,26,4
3/14/20,Van Buren?,21,1
3/14/20,Warren?,81,9
3/14/20,Washington?,268,30
3/14/20,Wayne?,47,6
3/14/20,Weakley?,53,7
3/14/20,White?,78,9
3/14/20,Williamson?,257,45
3/14/20,Wilson?,250,70
