Period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
February,Platte County,"17,735","17,240",495,2.80%,No
February,Polk County,"2,976","2,876",100,3.40%,No
February,Red Willow County,"5,879","5,714",165,2.80%,No
February,Richardson County,"4,214","4,087",127,3.00%,No
February,Rock County,892,871,21,2.40%,No
February,Saline County,"7,463","7,196",267,3.60%,No
February,Sarpy County,"97,272","94,467","2,805",2.90%,No
February,Saunders County,"11,278","10,967",311,2.80%,No
February,Scotts Bluff County,"18,034","17,391",643,3.60%,No
February,Seward County,"9,110","8,857",253,2.80%,No
February,Sheridan County,"2,689","2,622",67,2.50%,No
February,Sherman County,"1,698","1,642",56,3.30%,No
February,Sioux County,745,728,17,2.30%,No
February,Stanton County,"3,531","3,431",100,2.80%,No
February,Thayer County,"2,767","2,700",67,2.40%,No
February,Thomas County,435,414,21,4.80%,No
February,Thurston County,"3,099","2,986",113,3.60%,No
February,Valley County,"2,126","2,065",61,2.90%,No
February,Washington County,"11,381","11,049",332,2.90%,No
February,Wayne County,"5,922","5,778",144,2.40%,No
February,Webster County,"1,698","1,638",60,3.50%,No
February,Wheeler County,566,554,12,2.10%,No
February,York County,"7,208","7,029",179,2.50%,No
January,Adams County,"16,719","16,119",600,3.60%,No
January,Antelope County,"3,611","3,513",98,2.70%,No
January,Arthur County,234,222,12,5.10%,No
January,Banner County,386,376,10,2.60%,No
January,Blaine County,275,259,16,5.80%,No
January,Boone County,"3,019","2,921",98,3.20%,No
January,Box Butte County,"5,326","5,152",174,3.30%,No
January,Boyd County,"1,108","1,071",37,3.30%,No
January,Brown County,"1,411","1,370",41,2.90%,No
January,Buffalo County,"27,716","26,997",719,2.60%,No
January,Burt County,"3,481","3,338",143,4.10%,No
January,Butler County,"4,495","4,370",125,2.80%,No
January,Cass County,"13,670","13,168",502,3.70%,No
January,Cedar County,"4,507","4,392",115,2.60%,No
January,Chase County,"2,309","2,264",45,1.90%,No
January,Cherry County,"3,407","3,319",88,2.60%,No
January,Cheyenne County,"4,305","4,153",152,3.50%,No
January,Clay County,"3,310","3,199",111,3.40%,No
January,Colfax County,"5,569","5,413",156,2.80%,No
January,Cuming County,"4,730","4,595",135,2.90%,No
January,Custer County,"6,473","6,326",147,2.30%,No
January,Dakota County,"10,799","10,268",531,4.90%,No
January,Dawes County,"4,888","4,769",119,2.40%,No
January,Dawson County,"13,131","12,717",414,3.20%,No
January,Deuel County,965,934,31,3.20%,No
January,Dixon County,"3,058","2,962",96,3.10%,No
January,Dodge County,"19,411","18,805",606,3.10%,No
January,Douglas County,"300,008","289,847","10,161",3.40%,No
January,Dundy County,"1,195","1,168",27,2.30%,No
January,Fillmore County,"3,147","3,067",80,2.50%,No
January,Franklin County,"1,469","1,424",45,3.10%,No
January,Frontier County,"1,657","1,594",63,3.80%,No
January,Furnas County,"2,546","2,478",68,2.70%,No
January,Gage County,"10,993","10,591",402,3.70%,No
January,Garden County,"1,098","1,057",41,3.70%,No
January,Garfield County,"1,163","1,134",29,2.50%,No
January,Gosper County,"1,105","1,082",23,2.10%,No
January,Grant County,440,430,10,2.30%,No
January,Greeley County,"1,244","1,205",39,3.10%,No
January,Hall County,"32,184","30,500","1,684",5.20%,No
January,Hamilton County,"4,825","4,632",193,4.00%,No
January,Harlan County,"1,770","1,719",51,2.90%,No
January,Hayes County,643,623,20,3.10%,No
January,Hitchcock County,"1,268","1,219",49,3.90%,No
January,Holt County,"5,848","5,700",148,2.50%,No
January,Hooker County,383,367,16,4.20%,No
January,Howard County,"3,440","3,247",193,5.60%,No
January,Jefferson County,"4,172","4,067",105,2.50%,No
January,Johnson County,"2,070","2,000",70,3.40%,No
January,Kearney County,"3,814","3,732",82,2.10%,No
January,Keith County,"4,491","4,339",152,3.40%,No
January,Keya Paha County,627,613,14,2.20%,No
January,Kimball County,"2,021","1,962",59,2.90%,No
January,Knox County,"4,671","4,503",168,3.60%,No
January,Lancaster County,"177,911","173,050","4,861",2.70%,No
January,Lincoln County,"18,089","17,446",643,3.60%,No
January,Logan County,482,470,12,2.50%,No
January,Loup County,420,400,20,4.80%,No
January,Madison County,"19,572","18,976",596,3.00%,No
January,McPherson County,446,430,16,3.60%,No
January,Merrick County,"4,061","3,889",172,4.20%,No
January,Morrill County,"2,646","2,552",94,3.60%,No
January,Nance County,"1,999","1,938",61,3.10%,No
January,Nemaha County,"3,571","3,440",131,3.70%,No
