county,date,claims,,,,,,,,,,
Suffolk,4/25/20,"14,545",,,,,,,,,,
Sullivan,4/25/20,857,,,,,,,,,,
Tioga,4/25/20,406,,,,,,,,,,
Tompkins,4/25/20,608,,,,,,,,,,
Ulster,4/25/20,"1,674",,,,,,,,,,
Warren,4/25/20,607,,,,,,,,,,
Washington,4/25/20,521,,,,,,,,,,
Wayne,4/25/20,698,,,,,,,,,,
Westchester,4/25/20,"7,849",,,,,,,,,,
Wyoming,4/25/20,326,,,,,,,,,,
Yates,4/25/20,507,,,,,,,,,,
Out of State,4/25/20,"10,637",,,,,,,,,,
Albany,5/16/20,"2,268",,,,,,,,,,
Allegany,5/16/20,326,,,,,,,,,,
Bronx,5/16/20,"21,301",,,,,,,,,,
Broome,5/16/20,"1,517",,,,,,,,,,
Cattaraugus,5/16/20,657,,,,,,,,,,
Cayuga,5/16/20,589,,,,,,,,,,
Chautauqua,5/16/20,"1,023",,,,,,,,,,
Chemung,5/16/20,730,,,,,,,,,,
Chenango,5/16/20,321,,,,,,,,,,
Clinton,5/16/20,811,,,,,,,,,,
Columbia,5/16/20,469,,,,,,,,,,
Cortland,5/16/20,382,,,,,,,,,,
Delaware,5/16/20,309,,,,,,,,,,
Dutchess,5/16/20,"2,448",,,,,,,,,,
Erie,5/16/20,"9,280",,,,,,,,,,
Essex,5/16/20,140,,,,,,,,,,
Hamilton,5/16/20,140,,,,,,,,,,
Franklin,5/16/20,367,,,,,,,,,,
Fulton,5/16/20,452,,,,,,,,,,
genesee,5/16/20,480,,,,,,,,,,
Greene,5/16/20,397,,,,,,,,,,
Herkimer,5/16/20,420,,,,,,,,,,
Jefferson,5/16/20,670,,,,,,,,,,
Kings,5/16/20,"35,236",,,,,,,,,,
Lewis,5/16/20,212,,,,,,,,,,
Livingston,5/16/20,481,,,,,,,,,,
Madison,5/16/20,491,,,,,,,,,,
Monroe,5/16/20,"7,549",,,,,,,,,,
Montgomery,5/16/20,392,,,,,,,,,,
Nassau,5/16/20,"13,956",,,,,,,,,,
New York,5/16/20,"18,091",,,,,,,,,,
Niagara,5/16/20,"2,148",,,,,,,,,,
Oneida,5/16/20,"1,832",,,,,,,,,,
Onondaga,5/16/20,"4,295",,,,,,,,,,
Ontario,5/16/20,469,,,,,,,,,,
Yates,5/16/20,469,,,,,,,,,,
Orange,5/16/20,"3,315",,,,,,,,,,
Orleans,5/16/20,298,,,,,,,,,,
Oswego,5/16/20,967,,,,,,,,,,
Otsego,5/16/20,373,,,,,,,,,,
Putnam,5/16/20,918,,,,,,,,,,
Queens,5/16/20,"36,825",,,,,,,,,,
Rensselaer,5/16/20,"1,187",,,,,,,,,,
Richmond,5/16/20,"5,418",,,,,,,,,,
Rockland,5/16/20,"3,046",,,,,,,,,,
St. Lawrence,5/16/20,548,,,,,,,,,,
Saratoga,5/16/20,"1,799",,,,,,,,,,
Schenectady,5/16/20,"1,453",,,,,,,,,,
Schoharie,5/16/20,188,,,,,,,,,,
Schuyler,5/16/20,492,,,,,,,,,,
Steuben,5/16/20,492,,,,,,,,,,
Seneca,5/16/20,206,,,,,,,,,,
Suffolk,5/16/20,"24,754",,,,,,,,,,
Sullivan,5/16/20,740,,,,,,,,,,
Tioga,5/16/20,346,,,,,,,,,,
Tompkins,5/16/20,663,,,,,,,,,,
Ulster,5/16/20,"1,655",,,,,,,,,,
Warren,5/16/20,614,,,,,,,,,,
Washington,5/16/20,431,,,,,,,,,,
Wayne,5/16/20,720,,,,,,,,,,
Westchester,5/16/20,"8,407",,,,,,,,,,
Wyoming,5/16/20,252,,,,,,,,,,
Out of State,5/16/20,"12,337",,,,,,,,,,
Albany,5/9/20,"2,085",,,,,,,,,,
Allegany,5/9/20,284,,,,,,,,,,
Bronx,5/9/20,"18,451",,,,,,,,,,
Broome,5/9/20,"1,246",,,,,,,,,,
Cattaraugus,5/9/20,605,,,,,,,,,,
Cayuga,5/9/20,597,,,,,,,,,,
Chautauqua,5/9/20,832,,,,,,,,,,
Chemung,5/9/20,755,,,,,,,,,,
Chenango,5/9/20,274,,,,,,,,,,
Clinton,5/9/20,663,,,,,,,,,,
Columbia,5/9/20,366,,,,,,,,,,
Cortland,5/9/20,334,,,,,,,,,,
Delaware,5/9/20,247,,,,,,,,,,
Dutchess,5/9/20,"2,091",,,,,,,,,,
Erie,5/9/20,"9,122",,,,,,,,,,
Essex,5/9/20,98,,,,,,,,,,
Hamilton,5/9/20,98,,,,,,,,,,
Franklin,5/9/20,357,,,,,,,,,,
Fulton,5/9/20,392,,,,,,,,,,
genesee,5/9/20,450,,,,,,,,,,
Greene,5/9/20,314,,,,,,,,,,
Herkimer,5/9/20,402,,,,,,,,,,
Jefferson,5/9/20,637,,,,,,,,,,
Kings,5/9/20,"29,898",,,,,,,,,,
Lewis,5/9/20,152,,,,,,,,,,
Livingston,5/9/20,412,,,,,,,,,,
Madison,5/9/20,467,,,,,,,,,,
Monroe,5/9/20,"6,087",,,,,,,,,,
Montgomery,5/9/20,444,,,,,,,,,,
Nassau,5/9/20,"13,384",,,,,,,,,,
New York,5/9/20,"15,076",,,,,,,,,,
Niagara,5/9/20,"2,218",,,,,,,,,,
Oneida,5/9/20,"1,878",,,,,,,,,,
Onondaga,5/9/20,"3,970",,,,,,,,,,
Ontario,5/9/20,448,,,,,,,,,,
Yates,5/9/20,448,,,,,,,,,,
