"state_fips","whole_fips","labor_force","employed","unemployed","unemployment_rate"
"12","12051",14421,12914,1507,10.5
"12","12053",66987,56966,10021,15
"12","12055",33475,29656,3819,11.4
"12","12057",684108,601754,82354,12
"12","12059",6294,5713,581,9.2
"12","12061",61883,53142,8741,14.1
"12","12063",15305,14081,1224,8
"12","12065",4997,4613,384,7.7
"12","12067",2495,2357,138,5.5
"12","12069",143756,122638,21118,14.7
"12","12071",321446,274556,46890,14.6
"12","12073",138628,127243,11385,8.2
"12","12075",15172,13508,1664,11
"12","12077",2323,2160,163,7
"12","12079",6645,6107,538,8.1
"12","12081",161474,139654,21820,13.5
"12","12083",129422,113768,15654,12.1
"12","12085",68784,60572,8212,11.9
"12","12086",1215918,1071624,144294,11.9
"12","12087",46816,38609,8207,17.5
"12","12089",37751,33054,4697,12.4
"12","12091",88976,77171,11805,13.3
"12","12093",15858,14573,1285,8.1
"12","12095",703093,587057,116036,16.5
"12","12097",177131,141222,35909,20.3
"12","12099",653719,562585,91134,13.9
"12","12101",220731,190035,30696,13.9
"12","12103",460388,396407,63981,13.9
"12","12105",285778,247526,38252,13.4
"12","12107",24022,21391,2631,11
"12","12109",120714,106702,14012,11.6
"12","12111",137026,117542,19484,14.2
"12","12113",76550,68484,8066,10.5
"12","12115",171832,146394,25438,14.8
"12","12117",226241,196612,29629,13.1
"12","12119",29930,26241,3689,12.3
"12","12121",16181,14812,1369,8.5
"12","12123",7447,6866,581,7.8
"12","12125",4136,3827,309,7.5
"12","12127",237582,202847,34735,14.6
"12","12129",13298,12256,1042,7.8
"12","12131",29357,25098,4259,14.5
"12","12133",8680,7797,883,10.2
"13","13001",9275,8599,676,7.3
"13","13003",4309,3977,332,7.7
"13","13005",4777,4416,361,7.6
"13","13007",1082,993,89,8.2
"13","13009",17605,15758,1847,10.5
"13","13011",9595,8697,898,9.4
"13","13013",38118,33636,4482,11.8
"13","13015",49179,41920,7259,14.8
"13","13017",5308,4720,588,11.1
"13","13019",7590,6521,1069,14.1
"13","13021",64500,57023,7477,11.6
"13","13023",4284,3883,401,9.4
"13","13025",6082,5382,700,11.5
"13","13027",6378,5892,486,7.6
"13","13029",16677,14575,2102,12.6
"13","13031",36601,32427,4174,11.4
"13","13033",8510,7618,892,10.5
"13","13035",10059,8903,1156,11.5
"13","13037",2239,2099,140,6.3
"13","13039",19963,18063,1900,9.5
"13","13043",5555,5173,382,6.9
"13","13045",52476,45688,6788,12.9
"13","13047",32079,28881,3198,10
"13","13049",4477,4220,257,5.7
"13","13051",132629,110868,21761,16.4
"13","13053",1829,1632,197,10.8
"13","13055",10270,8510,1760,17.1
"13","13057",127165,113034,14131,11.1
"13","13059",55913,49024,6889,12.3
"13","13061",947,776,171,18.1
"13","13063",134591,113093,21498,16
"13","13065",2512,2329,183,7.3
