county,claims,date
Lincoln,13,18-Apr
Ellsworth,15,18-Apr
Rice,44,18-Apr
Reno,617,18-Apr
Kingman,80,18-Apr
Harper,26,18-Apr
Republic,18,18-Apr
Cloud,44,18-Apr
Ottawa,37,18-Apr
Saline,554,18-Apr
McPherson,172,18-Apr
Harvey,800,18-Apr
Sedgewick,9228,18-Apr
Sumner,580,18-Apr
Washington,18,18-Apr
Clay,42,18-Apr
Dickinson,104,18-Apr
Marion,45,18-Apr
Butler,936,18-Apr
Cowley,430,18-Apr
Marshall,33,18-Apr
Riley,594,18-Apr
Geary,227,18-Apr
Morris,26,18-Apr
Chase,20,18-Apr
Nemaha,43,18-Apr
Pottawatomie,168,18-Apr
Wabaunsee,45,18-Apr
Lyon,198,18-Apr
Greenwood,42,18-Apr
Elk,18,18-Apr
Chautauqua,18,18-Apr
Brown,87,18-Apr
Jackson,193,18-Apr
Shawnee,1731,18-Apr
Osage,135,18-Apr
Coffey,37,18-Apr
Woodson,20,18-Apr
Wilson,105,18-Apr
Montgomery,219,18-Apr
Doniphan,36,18-Apr
Atchison,118,18-Apr
Jefferson,217,18-Apr
Douglas,1503,18-Apr
Franklin,298,18-Apr
Anderson,48,18-Apr
Allen,61,18-Apr
Neosho,94,18-Apr
Labette,123,18-Apr
Leavenworth,502,18-Apr
Wyandotte,1459,18-Apr
Johnson,5102,18-Apr
Miami,222,18-Apr
Linn,68,18-Apr
Bourbon,904,18-Apr
Crawford,404,18-Apr
Cherokee,127,18-Apr
Cheyenne,3,25-Apr
Sherman,17,25-Apr
Wallance,2,25-Apr
Greeley,1,25-Apr
Hamilton,4,25-Apr
Stanton,5,25-Apr
Morton,4,25-Apr
Rawlins,44,25-Apr
Thomas,24,25-Apr
Logan,7,25-Apr
Wichita,5,25-Apr
Kearny,11,25-Apr
Grant,22,25-Apr
Stevens,6,25-Apr
Decatur,14,25-Apr
Sheridan,1,25-Apr
Gove,9,25-Apr
Scott,16,25-Apr
Lane,6,25-Apr
Finney,165,25-Apr
Haskell,5,25-Apr
Gray,11,25-Apr
Seward,96,25-Apr
Meade,10,25-Apr
Norton,7,25-Apr
Graham,18,25-Apr
Trego,10,25-Apr
Ness,9,25-Apr
Nodgeman,2,25-Apr
Ford,204,25-Apr
Clark,5,25-Apr
Phillips,23,25-Apr
Rooks,19,25-Apr
Ellis,150,25-Apr
Rush,11,25-Apr
Pawnee,20,25-Apr
Edwards,11,25-Apr
Kiowa,9,25-Apr
Comanche,7,25-Apr
Smith,12,25-Apr
Osborne,10,25-Apr
Russell,38,25-Apr
Barton,135,25-Apr
Stafford,14,25-Apr
Pratt,35,25-Apr
Barber,16,25-Apr
Jewell,5,25-Apr
Mitchell,19,25-Apr
Lincoln,13,25-Apr
Ellsworth,18,25-Apr
Rice,62,25-Apr
Reno,698,25-Apr
Kingman,62,25-Apr
Harper,30,25-Apr
Republic,10,25-Apr
Cloud,35,25-Apr
Ottawa,35,25-Apr
Saline,427,25-Apr
McPherson,311,25-Apr
Harvey,316,25-Apr
Sedgewick,8737,25-Apr
Sumner,467,25-Apr
Washington,7,25-Apr
Clay,18,25-Apr
Dickinson,116,25-Apr
Marion,74,25-Apr
Butler,1065,25-Apr
Cowley,415,25-Apr
Marshall,24,25-Apr
Riley,316,25-Apr
Geary,203,25-Apr
Morris,86,25-Apr
Chase,19,25-Apr
Nemaha,23,25-Apr
Pottawatomie,89,25-Apr
Wabaunsee,48,25-Apr
Lyon,255,25-Apr
Greenwood,35,25-Apr
Elk,16,25-Apr
Chautauqua,29,25-Apr
Brown,46,25-Apr
Jackson,115,25-Apr
Shawnee,1239,25-Apr
Osage,85,25-Apr
Coffey,38,25-Apr
Woodson,14,25-Apr
Wilson,70,25-Apr
Montgomery,390,25-Apr
Doniphan,17,25-Apr
Atchison,72,25-Apr
Jefferson,111,25-Apr
Douglas,859,25-Apr
Franklin,156,25-Apr
Anderson,31,25-Apr
Allen,63,25-Apr
Neosho,88,25-Apr
Labette,235,25-Apr
Leavenworth,440,25-Apr
Wyandotte,1346,25-Apr
Johnson,4181,25-Apr
Miami,182,25-Apr
Linn,54,25-Apr
Bourbon,71,25-Apr
Crawford,199,25-Apr
Cherokee,80,25-Apr
Cheyenne,4,2-May
Sherman,10,2-May
Wallance,4,2-May
Greeley,1,2-May
Hamilton,2,2-May
Stanton,3,2-May
Morton,2,2-May
Rawlins,5,2-May
Thomas,38,2-May
Logan,41,2-May
Wichita,3,2-May
Kearny,9,2-May
Grant,19,2-May
Stevens,5,2-May
Decatur,12,2-May
Sheridan,3,2-May
Gove,11,2-May
Scott,3,2-May
Lane,2,2-May
Finney,206,2-May
Haskell,6,2-May
Gray,6,2-May
Seward,54,2-May
Meade,5,2-May
Norton,6,2-May
Graham,18,2-May
Trego,8,2-May
Ness,12,2-May
Nodgeman,3,2-May
Ford,117,2-May
Clark,1,2-May
Phillips,18,2-May
Rooks,23,2-May
Ellis,116,2-May
Rush,12,2-May
Pawnee,12,2-May
Edwards,7,2-May
Kiowa,9,2-May
Comanche,1,2-May
Smith,8,2-May
Osborne,4,2-May
Russell,38,2-May
Barton,96,2-May
Stafford,12,2-May
Pratt,33,2-May
Barber,10,2-May
Jewell,7,2-May
Mitchell,14,2-May
Lincoln,8,2-May
Ellsworth,13,2-May
Rice,27,2-May
Reno,317,2-May
Kingman,41,2-May
Harper,14,2-May
Republic,6,2-May
Cloud,19,2-May
Ottawa,17,2-May
Saline,301,2-May
McPherson,97,2-May
Harvey,147,2-May
Sedgewick,4316,2-May
Sumner,150,2-May
Washington,6,2-May
Clay,27,2-May
Dickinson,107,2-May
Marion,26,2-May
Butler,402,2-May
Cowley,131,2-May
Marshall,21,2-May
Riley,277,2-May
Geary,323,2-May
Morris,10,2-May
Chase,10,2-May
Nemaha,20,2-May
Pottawatomie,61,2-May
Wabaunsee,23,2-May
Lyon,299,2-May
Greenwood,21,2-May
Elk,9,2-May
Chautauqua,8,2-May
Brown,32,2-May
Jackson,62,2-May
Shawnee,916,2-May
Osage,46,2-May
Coffey,22,2-May
Woodson,9,2-May
Wilson,42,2-May
Montgomery,195,2-May
Doniphan,17,2-May
Atchison,49,2-May
Jefferson,67,2-May
Douglas,621,2-May
Franklin,95,2-May
Anderson,13,2-May
Allen,48,2-May
Neosho,54,2-May
Labette,101,2-May
Leavenworth,307,2-May
Wyandotte,873,2-May
Johnson,2668,2-May
Miami,122,2-May
Linn,39,2-May
Bourbon,59,2-May
Crawford,161,2-May
Cherokee,68,2-May
Cheyenne,3,5/9/20
Sherman,4,5/9/20
Wallance,2,5/9/20
Greeley,1,5/9/20
Hamilton,3,5/9/20
Stanton,1,5/9/20
Morton,1,5/9/20
Rawlins,5,5/9/20
Thomas,18,5/9/20
Logan,9,5/9/20
