county,claims,date
Doniphan,36,4/18/20
Atchison,118,4/18/20
Jefferson,217,4/18/20
Douglas,1503,4/18/20
Franklin,298,4/18/20
Anderson,48,4/18/20
Allen,61,4/18/20
Neosho,94,4/18/20
Labette,123,4/18/20
Leavenworth,502,4/18/20
Wyandotte,1459,4/18/20
Johnson,5102,4/18/20
Miami,222,4/18/20
Linn,68,4/18/20
Bourbon,904,4/18/20
Crawford,404,4/18/20
Cherokee,127,4/18/20
Cheyenne,3,4/25/20
Sherman,17,4/25/20
Wallace,2,4/25/20
Greeley,1,4/25/20
Hamilton,4,4/25/20
Stanton,5,4/25/20
Morton,4,4/25/20
Rawlins,44,4/25/20
Thomas,24,4/25/20
Logan,7,4/25/20
Wichita,5,4/25/20
Kearny,11,4/25/20
Grant,22,4/25/20
Stevens,6,4/25/20
Decatur,14,4/25/20
Sheridan,1,4/25/20
Gove,9,4/25/20
Scott,16,4/25/20
Lane,6,4/25/20
Finney,165,4/25/20
Haskell,5,4/25/20
Gray,11,4/25/20
Seward,96,4/25/20
Meade,10,4/25/20
Norton,7,4/25/20
Graham,18,4/25/20
Trego,10,4/25/20
Ness,9,4/25/20
Hodgeman,2,4/25/20
Ford,204,4/25/20
Clark,5,4/25/20
Phillips,23,4/25/20
Rooks,19,4/25/20
Ellis,150,4/25/20
Rush,11,4/25/20
Pawnee,20,4/25/20
Edwards,11,4/25/20
Kiowa,9,4/25/20
Comanche,7,4/25/20
Smith,12,4/25/20
Osborne,10,4/25/20
Russell,38,4/25/20
Barton,135,4/25/20
Stafford,14,4/25/20
Pratt,35,4/25/20
Barber,16,4/25/20
Jewell,5,4/25/20
Mitchell,19,4/25/20
Lincoln,13,4/25/20
Ellsworth,18,4/25/20
Rice,62,4/25/20
Reno,698,4/25/20
Kingman,62,4/25/20
Harper,30,4/25/20
Republic,10,4/25/20
Cloud,35,4/25/20
Ottawa,35,4/25/20
Saline,427,4/25/20
McPherson,311,4/25/20
Harvey,316,4/25/20
Sedgwick,8737,4/25/20
Sumner,467,4/25/20
Washington,7,4/25/20
Clay,18,4/25/20
Dickinson,116,4/25/20
Marion,74,4/25/20
Butler,1065,4/25/20
Cowley,415,4/25/20
Marshall,24,4/25/20
Riley,316,4/25/20
Geary,203,4/25/20
Morris,86,4/25/20
Chase,19,4/25/20
Nemaha,23,4/25/20
Pottawatomie,89,4/25/20
Wabaunsee,48,4/25/20
Lyon,255,4/25/20
Greenwood,35,4/25/20
Elk,16,4/25/20
Chautauqua,29,4/25/20
Brown,46,4/25/20
Jackson,115,4/25/20
Shawnee,1239,4/25/20
Osage,85,4/25/20
Coffey,38,4/25/20
Woodson,14,4/25/20
Wilson,70,4/25/20
Montgomery,390,4/25/20
Doniphan,17,4/25/20
Atchison,72,4/25/20
Jefferson,111,4/25/20
Douglas,859,4/25/20
Franklin,156,4/25/20
Anderson,31,4/25/20
Allen,63,4/25/20
Neosho,88,4/25/20
Labette,235,4/25/20
Leavenworth,440,4/25/20
Wyandotte,1346,4/25/20
Johnson,4181,4/25/20
Miami,182,4/25/20
Linn,54,4/25/20
Bourbon,71,4/25/20
Crawford,199,4/25/20
Cherokee,80,4/25/20
Cheyenne,4,5/2/20
Sherman,10,5/2/20
Wallace,4,5/2/20
Greeley,1,5/2/20
Hamilton,2,5/2/20
Stanton,3,5/2/20
Morton,2,5/2/20
Rawlins,5,5/2/20
Thomas,38,5/2/20
Logan,41,5/2/20
Wichita,3,5/2/20
Kearny,9,5/2/20
Grant,19,5/2/20
Stevens,5,5/2/20
Decatur,12,5/2/20
Sheridan,3,5/2/20
Gove,11,5/2/20
Scott,3,5/2/20
Lane,2,5/2/20
