SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 03",1585291,NV,"Pershing County, Nevada",2020,March,Not Adj,Nevada,"2,527","2,709",182,6.70%
"2020, 03",1585292,NV,"Storey County, Nevada",2020,March,Not Adj,Nevada,"1,933","2,065",132,6.40%
"2020, 03",1585293,NV,"Washoe County, Nevada",2020,March,Not Adj,Nevada,"244,886","259,454","14,568",5.60%
"2020, 03",1585294,NV,"White Pine County, Nevada",2020,March,Not Adj,Nevada,"4,478","4,725",247,5.20%
"2020, 03",1585295,NV,"Carson City, Nevada",2020,March,Not Adj,Nevada,"24,900","26,797","1,897",7.10%
"2020, 03",1585302,NV,Fernley City,2020,March,Not Adj,Nevada,"8,160","8,912",752,8.40%
"2020, 03",1585303,NV,Boulder City,2020,March,Not Adj,Nevada,"7,108","7,617",509,6.70%
"2020, 03",1585304,NV,Elko,2020,March,Not Adj,Nevada,"10,128","10,718",590,5.50%
"2020, 03",1585305,NV,Henderson,2020,March,Not Adj,Nevada,"153,705","164,459","10,754",6.50%
"2020, 03",1585306,NV,Las Vegas,2020,March,Not Adj,Nevada,"295,300","318,396","23,096",7.30%
"2020, 03",1585307,NV,Mesquite,2020,March,Not Adj,Nevada,"7,499","7,862",363,4.60%
"2020, 03",1585308,NV,North Las Vegas,2020,March,Not Adj,Nevada,"107,581","116,983","9,402",8.00%
"2020, 03",1585309,NV,Reno,2020,March,Not Adj,Nevada,"132,077","139,704","7,627",5.50%
"2020, 03",1585310,NV,Sparks,2020,March,Not Adj,Nevada,"54,961","58,173","3,212",5.50%
"2020, 02",1585239,NV,Sparks,2020,February,Not Adj,Nevada,"56,852","58,684","1,832",3.10%
"2020, 02",1585240,NV,Reno,2020,February,Not Adj,Nevada,"136,621","141,083","4,462",3.20%
"2020, 02",1585241,NV,North Las Vegas,2020,February,Not Adj,Nevada,"112,410","117,450","5,040",4.30%
"2020, 02",1585242,NV,Mesquite,2020,February,Not Adj,Nevada,"7,836","8,084",248,3.10%
"2020, 02",1585243,NV,Las Vegas,2020,February,Not Adj,Nevada,"308,554","321,169","12,615",3.90%
"2020, 02",1585244,NV,Henderson,2020,February,Not Adj,Nevada,"160,604","166,565","5,961",3.60%
"2020, 02",1585245,NV,Elko,2020,February,Not Adj,Nevada,"10,220","10,572",352,3.30%
"2020, 02",1585246,NV,Boulder City,2020,February,Not Adj,Nevada,"7,427","7,711",284,3.70%
"2020, 02",1585247,NV,Fernley City,2020,February,Not Adj,Nevada,"8,345","8,778",433,4.90%
"2020, 02",1585254,NV,"Carson City, Nevada",2020,February,Not Adj,Nevada,"25,783","26,889","1,106",4.10%
"2020, 02",1585255,NV,"White Pine County, Nevada",2020,February,Not Adj,Nevada,"4,540","4,697",157,3.30%
"2020, 02",1585256,NV,"Washoe County, Nevada",2020,February,Not Adj,Nevada,"253,310","261,747","8,437",3.20%
"2020, 02",1585257,NV,"Storey County, Nevada",2020,February,Not Adj,Nevada,"2,008","2,087",79,3.80%
"2020, 02",1585258,NV,"Pershing County, Nevada",2020,February,Not Adj,Nevada,"2,481","2,594",113,4.40%
"2020, 02",1585259,NV,"Nye County, Nevada",2020,February,Not Adj,Nevada,"17,053","17,934",881,4.90%
"2020, 02",1585260,NV,"Mineral County, Nevada",2020,February,Not Adj,Nevada,"1,945","2,024",79,3.90%
"2020, 02",1585261,NV,"Lyon County, Nevada",2020,February,Not Adj,Nevada,"22,464","23,639","1,175",5.00%
"2020, 02",1585262,NV,"Lincoln County, Nevada",2020,February,Not Adj,Nevada,"2,075","2,158",83,3.80%
"2020, 02",1585263,NV,"Lander County, Nevada",2020,February,Not Adj,Nevada,"3,143","3,264",121,3.70%
"2020, 02",1585264,NV,"Humboldt County, Nevada",2020,February,Not Adj,Nevada,"8,043","8,317",274,3.30%
"2020, 02",1585265,NV,"Eureka County, Nevada",2020,February,Not Adj,Nevada,"1,077","1,103",26,2.40%
"2020, 02",1585266,NV,"Esmeralda County, Nevada",2020,February,Not Adj,Nevada,443,461,18,3.90%
"2020, 02",1585267,NV,"Elko County, Nevada",2020,February,Not Adj,Nevada,"26,176","27,063",887,3.30%
"2020, 02",1585268,NV,"Douglas County, Nevada",2020,February,Not Adj,Nevada,"22,595","23,535",940,4.00%
"2020, 02",1585269,NV,"Clark County, Nevada",2020,February,Not Adj,Nevada,"1,109,378","1,154,132","44,754",3.90%
"2020, 02",1585270,NV,"Churchill County, Nevada",2020,February,Not Adj,Nevada,"10,938","11,350",412,3.60%
